mes,tienda_id,tienda,ciudad,area_m2,visitas,tickets,conversion_pct,venta_cop,margen_cop,unidades,ticket_promedio_cop,unidades_por_ticket,venta_m2_cop,arriendo_cop,nomina_cop,costo_fijo_cop,contribucion_cop
2025-03,TDA-PEI,Nutramerican Pereira,Pereira,72,2179,458,21.0,105946797,62366697,1031,231324,2.25,1471483,4522896,6073647,10596543,51770154
2025-04,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3515,771,21.9,180342623,103591023,1758,233907,2.28,2003806,6128010,10511844,16639854,86951169
2025-04,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2381,543,22.8,119717105,69733105,1170,220473,2.15,1534834,4741776,6805626,11547402,58185703
2025-04,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,5396,1192,22.1,270800036,156535636,2678,227181,2.25,2256666,9656760,10115505,19772265,136763371
2025-04,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,3436,967,28.1,226470769,130353669,2221,234199,2.3,2383902,7598005,7280421,14878426,115475243
2025-04,TDA-CALI,Nutramerican Cali,Cali,140,5379,1299,24.1,294681304,169482804,2935,226852,2.26,2104866,9719220,9769092,19488312,149994492
2025-04,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1421,363,25.5,89522228,51626428,843,246617,2.32,1316503,4299572,6116565,10416137,41210291
2025-04,TDA-MED,Nutramerican Medellín,Medellín,110,4931,1103,22.4,252954850,145322750,2485,229333,2.25,2299589,7049460,10562528,17611988,127710762
2025-04,TDA-PEI,Nutramerican Pereira,Pereira,72,1775,433,24.4,96218778,55815278,986,222214,2.28,1336371,4942944,6984714,11927658,43887620
2025-05,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3560,752,21.1,183035486,105540886,1752,243398,2.33,2033727,7098930,10184252,17283182,88257704
2025-05,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2441,566,23.2,133253562,76551762,1262,235430,2.23,1708379,5646966,7618008,13264974,63286788
2025-05,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,6579,1306,19.9,320090700,184014100,3028,245092,2.32,2667422,8073360,10829330,18902690,165111410
2025-05,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,3839,978,25.5,226488817,129785717,2282,231583,2.33,2384092,5644235,8903952,14548187,115237530
2025-05,TDA-CALI,Nutramerican Cali,Cali,140,6373,1350,21.2,326604887,187939387,3067,241929,2.27,2332892,11033540,10460365,21493905,166445482
2025-05,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2427,413,17.0,99084328,56802728,982,239913,2.38,1457122,4768092,10699205,15467297,41335431
2025-05,TDA-MED,Nutramerican Medellín,Medellín,110,5664,1117,19.7,259842048,148581448,2563,232624,2.29,2362200,8976660,7845592,16822252,131759196
2025-05,TDA-PEI,Nutramerican Pereira,Pereira,72,2304,492,21.3,114489450,65634850,1091,232702,2.22,1590131,5045832,6196092,11241924,54392926
2025-06,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,4173,857,20.5,216827517,125114217,1965,253007,2.29,2409194,6510150,10827580,17337730,107776487
2025-06,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,3462,689,19.9,158049776,90126976,1550,229390,2.25,2026279,5577312,7810101,13387413,76739563
2025-06,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,5702,1517,26.6,376667394,216262194,3551,248297,2.34,3138894,9037560,10564828,19602388,196659806
2025-06,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,2981,1069,35.8,243077260,140875160,2401,227387,2.25,2558708,7023635,7873140,14896775,125978385
2025-06,TDA-CALI,Nutramerican Cali,Cali,140,6562,1604,24.4,378410274,218056774,3648,235916,2.27,2702930,10839360,7662240,18501600,199555174
2025-06,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1356,424,31.3,101697151,59557251,996,239851,2.35,1495546,4927756,8059424,12987180,46570071
2025-06,TDA-MED,Nutramerican Medellín,Medellín,110,5777,1266,21.9,290048227,165437327,2874,229106,2.27,2636802,9415450,6438366,15853816,149583511
2025-06,TDA-PEI,Nutramerican Pereira,Pereira,72,2615,521,19.9,120404461,69093361,1170,231102,2.25,1672284,5432616,7909040,13341656,55751705
2025-07,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,4810,871,18.1,210402677,120963777,2019,241564,2.32,2337807,5360040,6991629,12351669,108612108
2025-07,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2010,652,32.4,149196601,86273001,1463,228829,2.24,1912776,5349786,12663935,18013721,68259280
2025-07,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,7651,1486,19.4,349791206,200843906,3406,235391,2.29,2914926,8732520,10698180,19430700,181413206
2025-07,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,5414,1113,20.6,265786657,152994457,2562,238802,2.3,2797754,5888290,6711183,12599473,140394984
2025-07,TDA-CALI,Nutramerican Cali,Cali,140,5601,1491,26.6,362286638,207550238,3475,242982,2.33,2587761,8290380,8070705,16361085,191189153
2025-07,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2295,443,19.3,97445002,55949102,1020,219966,2.3,1433014,4688396,8770184,13458580,42490522
2025-07,TDA-MED,Nutramerican Medellín,Medellín,110,4966,1268,25.5,301109211,172554711,2920,237467,2.3,2737356,7665460,12133415,19798875,152755836
2025-07,TDA-PEI,Nutramerican Pereira,Pereira,72,2404,554,23.0,128784702,74086002,1230,232463,2.22,1788676,5106888,9699748,14806636,59279366
2025-08,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3144,790,25.1,188958666,108072066,1837,239188,2.33,2099540,6731100,6327942,13059042,95013024
2025-08,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2336,604,25.9,133965503,77302203,1344,221797,2.23,1717506,5681286,10290085,15971371,61330832
2025-08,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,7605,1275,16.8,314052992,181014692,3034,246316,2.38,2617108,7055280,5922483,12977763,168036929
2025-08,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,2945,1000,33.9,236087014,134854614,2282,236087,2.28,2485126,7853555,8493748,16347303,118507311
2025-08,TDA-CALI,Nutramerican Cali,Cali,140,6532,1439,22.0,347128437,199888337,3334,241228,2.32,2479488,11057060,10363088,21420148,178468189
2025-08,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1465,387,26.4,93787925,53734125,884,242346,2.28,1379234,4622436,5912949,10535385,43198740
2025-08,TDA-MED,Nutramerican Medellín,Medellín,110,4660,1094,23.5,263009178,151631878,2567,240410,2.35,2390992,8745440,7790868,16536308,135095570
2025-08,TDA-PEI,Nutramerican Pereira,Pereira,72,1642,484,29.5,106545205,61325605,1077,220134,2.23,1479794,4805784,12000770,16806554,44519051
2025-09,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,2385,674,28.3,166194397,94341997,1578,246579,2.34,1846604,7525080,10793585,18318665,76023332
2025-09,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2157,511,23.7,124034544,71279944,1121,242729,2.19,1590186,5433558,9889512,15323070,55956874
2025-09,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,4468,1090,24.4,251628772,144955772,2454,230852,2.25,2096906,7726920,8068060,15794980,129160792
2025-09,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,7718,849,11.0,206974826,119373526,1882,243786,2.22,2178682,7201570,9626790,16828360,102545166
2025-09,TDA-CALI,Nutramerican Cali,Cali,140,4938,1192,24.1,291119834,168156634,2758,244228,2.31,2079427,11921700,9316264,21237964,146918670
2025-09,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1719,335,19.5,84626660,48127660,795,252616,2.37,1244509,5338068,8192744,13530812,34596848
2025-09,TDA-MED,Nutramerican Medellín,Medellín,110,3818,964,25.2,234357015,133155915,2254,243108,2.34,2130518,7606940,8082888,15689828,117466087
2025-09,TDA-PEI,Nutramerican Pereira,Pereira,72,1519,410,27.0,98088862,56070562,964,239241,2.35,1362345,5355720,8822356,14178076,41892486
2025-10,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,2977,739,24.8,177345563,101248163,1712,239980,2.32,1970506,6350220,8927536,15277756,85970407
2025-10,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,3116,583,18.7,144035268,82895668,1398,247058,2.4,1846606,6642168,13459780,20101948,62793720
2025-10,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,4569,1281,28.0,311623536,179513636,2922,243265,2.28,2596862,8141640,6327435,14469075,165044561
2025-10,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,4292,948,22.1,227745697,129789597,2164,240238,2.28,2397323,7553640,7660668,15214308,114575289
2025-10,TDA-CALI,Nutramerican Cali,Cali,140,8331,1368,16.4,311514815,178259515,3148,227715,2.3,2225105,9431100,9686315,19117415,159142100
2025-10,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1610,382,23.7,90883807,52416807,865,237915,2.26,1336526,5094968,7657671,12752639,39664168
2025-10,TDA-MED,Nutramerican Medellín,Medellín,110,4581,1109,24.2,269589887,154199287,2597,243092,2.34,2450817,6523550,5967873,12491423,141707864
2025-10,TDA-PEI,Nutramerican Pereira,Pereira,72,2245,480,21.4,110445361,63368061,1089,230094,2.27,1533963,5394744,10159760,15554504,47813557
2025-11,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3161,777,24.6,183089964,105354764,1800,235637,2.32,2034332,6659460,10556000,17215460,88139304
2025-11,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2121,655,30.9,152223951,86853551,1490,232402,2.27,1951589,6435546,7089888,13525434,73328117
2025-11,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,5304,1364,25.7,331183571,190421471,3166,242803,2.32,2759863,8811840,7231353,16043193,174378278
2025-11,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,4254,1073,25.2,263143002,149614002,2516,245240,2.34,2769926,5850765,10986770,16837535,132776467
2025-11,TDA-CALI,Nutramerican Cali,Cali,140,5385,1445,26.8,349200034,200686934,3292,241660,2.28,2494285,8433740,9632640,18066380,182620554
2025-11,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1543,431,27.9,101183675,57842675,971,234764,2.25,1487995,5076812,6767400,11844212,45998463
2025-11,TDA-MED,Nutramerican Medellín,Medellín,110,4696,1222,26.0,297345334,170276634,2769,243326,2.27,2703139,8629500,7101867,15731367,154545267
2025-11,TDA-PEI,Nutramerican Pereira,Pereira,72,2240,507,22.6,130420711,75002311,1220,257240,2.41,1811398,4565376,12379685,16945061,58057250
2025-12,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,4809,935,19.4,228000867,130625767,2177,243851,2.33,2533342,6748380,7737360,14485740,116140027
2025-12,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2497,693,27.7,160966493,92111593,1567,232274,2.26,2063672,5431140,10239412,15670552,76441041
2025-12,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,4942,1482,30.0,352519873,203630073,3403,237867,2.3,2937665,7328400,8796228,16124628,187505445
2025-12,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,4383,1167,26.6,279539443,159552443,2615,239536,2.24,2942520,5952795,6884247,12837042,146715401
2025-12,TDA-CALI,Nutramerican Cali,Cali,140,6970,1562,22.4,385075718,220059118,3671,246527,2.35,2750540,10955280,10476812,21432092,198627026
2025-12,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2071,436,21.0,110427549,63870949,1034,253274,2.37,1623934,4520844,10305124,14825968,49044981
2025-12,TDA-MED,Nutramerican Medellín,Medellín,110,6875,1262,18.4,314682485,179875485,2905,249352,2.3,2860749,9105030,9514945,18619975,161255510
2025-12,TDA-PEI,Nutramerican Pereira,Pereira,72,3102,601,19.4,153012778,87538678,1397,254596,2.32,2125177,5522400,10543436,16065836,71472842
2026-01,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3442,1088,31.6,289613141,164955141,2477,266188,2.28,3217923,5897160,10032100,15929260,149025881
2026-01,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,3010,867,28.8,226644919,129817819,2006,261412,2.31,2905704,6368778,10131565,16500343,113317476
2026-01,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,5723,1760,30.8,482215317,278507517,4026,273985,2.29,4018460,7599720,12033420,19633140,258874377
2026-01,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,5485,1322,24.1,351824345,200698045,3055,266130,2.31,3703414,7825435,13018815,20844250,179853795
2026-01,TDA-CALI,Nutramerican Cali,Cali,140,7134,1817,25.5,478020805,272597305,4148,263082,2.28,3414434,8769040,9541472,18310512,254286793
2026-01,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2651,555,20.9,142713736,81199236,1239,257141,2.23,2098731,4893144,6564993,11458137,69741099
2026-01,TDA-MED,Nutramerican Medellín,Medellín,110,6564,1530,23.3,430071237,245938737,3596,281092,2.35,3909738,8889210,8958608,17847818,228090919
2026-01,TDA-PEI,Nutramerican Pereira,Pereira,72,2770,689,24.9,176642436,100491936,1529,256375,2.22,2453367,4810968,5729412,10540380,89951556
2026-02,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3818,983,25.7,260183384,150369984,2275,264682,2.31,2890926,6325200,10571135,16896335,133473649
2026-02,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2290,740,32.3,198764584,112831784,1718,268600,2.32,2548263,4838418,7626156,12464574,100367210
2026-02,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,6171,1633,26.5,436112704,249604004,3810,267062,2.33,3634272,9928800,7265295,17194095,232409909
2026-02,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,7199,1258,17.5,326340956,187554656,2857,259412,2.27,3435167,6887310,7350363,14237673,173316983
2026-02,TDA-CALI,Nutramerican Cali,Cali,140,7081,1691,23.9,447111835,255634135,3925,264406,2.32,3193655,11662700,6294123,17956823,237677312
2026-02,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2485,519,20.9,141084714,80915014,1227,271839,2.36,2074775,4082720,9877250,13959970,66955044
2026-02,TDA-MED,Nutramerican Medellín,Medellín,110,4943,1395,28.2,357754274,206302874,3158,256454,2.26,3252311,6472950,11264165,17737115,188565759
2026-02,TDA-PEI,Nutramerican Pereira,Pereira,72,2342,582,24.8,152816485,87629085,1340,262571,2.3,2122451,5758992,10471060,16230052,71399033
2026-03,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,4328,978,22.6,259351654,148394654,2247,265185,2.3,2881685,6097590,12319840,18417430,129977224
2026-03,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2519,724,28.7,196404726,112979726,1693,271277,2.34,2518009,6631014,12411940,19042954,93936772
2026-03,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,4396,1489,33.9,389514220,224046820,3405,261594,2.29,3245951,7322400,7235802,14558202,209488618
2026-03,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,6108,1130,18.5,282960384,163863084,2565,250407,2.27,2978530,7591260,7687119,15278379,148584705
2026-03,TDA-CALI,Nutramerican Cali,Cali,140,6173,1498,24.3,390259490,222662790,3411,260520,2.28,2787567,10700200,10668824,21369024,201293766
2026-03,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2052,437,21.3,111440168,63465368,1020,255011,2.33,1638826,5400220,6752586,12152806,51312562
2026-03,TDA-MED,Nutramerican Medellín,Medellín,110,4093,1289,31.5,353835730,203294730,2995,274504,2.32,3216688,6981590,9890000,16871590,186423140
2026-03,TDA-PEI,Nutramerican Pereira,Pereira,72,2919,551,18.9,147102595,84312195,1275,266973,2.31,2043091,4238712,10552148,14790860,69521335
2026-04,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3103,843,27.2,222443020,128195120,1917,263870,2.27,2471589,7364430,8528296,15892726,112302394
2026-04,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2671,597,22.3,159103067,91326767,1402,266504,2.35,2039782,5106660,10087568,15194228,76132539
2026-04,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,6802,1314,19.3,344459316,197296316,3067,262145,2.33,2870494,7685760,9613160,17298920,179997396
2026-04,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,3409,1008,29.6,269418969,154725369,2320,267280,2.3,2835989,6353885,7715724,14069609,140655760
2026-04,TDA-CALI,Nutramerican Cali,Cali,140,6632,1369,20.6,354479462,203330362,3109,258933,2.27,2531996,8504020,6452727,14956747,188373615
2026-04,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1630,379,23.2,99589174,55795074,847,262768,2.23,1464546,4587688,6073968,10661656,45133418
2026-04,TDA-MED,Nutramerican Medellín,Medellín,110,4980,1103,22.1,309341653,178539653,2526,280454,2.29,2812196,9268710,10606748,19875458,158664195
2026-04,TDA-PEI,Nutramerican Pereira,Pereira,72,2685,483,18.0,125679964,71889464,1102,260206,2.28,1745555,5383224,7903044,13286268,58603196
2026-05,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,2538,792,31.2,207387745,118918345,1832,261853,2.31,2304308,6848190,6345345,13193535,105724810
2026-05,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2347,644,27.4,163442232,93409232,1502,253792,2.33,2095413,6626256,7347579,13973835,79435397
2026-05,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,8833,1384,15.7,364498969,208540469,3142,263366,2.27,3037491,9757680,10664324,20422004,188118465
2026-05,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,6340,1010,15.9,262728402,151663602,2316,260127,2.29,2765562,6925975,8669912,15595887,136067715
2026-05,TDA-CALI,Nutramerican Cali,Cali,140,5154,1432,27.8,365976488,209480088,3258,255570,2.28,2614117,8334200,10750556,19084756,190395332
2026-05,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,2021,418,20.7,107853743,61817243,963,258023,2.3,1586084,4909668,9939080,14848748,46968495
2026-05,TDA-MED,Nutramerican Medellín,Medellín,110,5338,1174,22.0,312981694,179897894,2715,266594,2.31,2845288,8509710,5727186,14236896,165660998
2026-05,TDA-PEI,Nutramerican Pereira,Pereira,72,2384,506,21.2,136768274,79149574,1153,270293,2.28,1899559,5084136,11015795,16099931,63049643
2026-06,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3090,981,31.7,233787165,132794565,2263,238315,2.31,2597635,7554690,7586790,15141480,117653085
2026-06,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2406,749,31.1,200089336,114947036,1773,267141,2.37,2565247,6560346,9872950,16433296,98513740
2026-06,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,7456,1658,22.2,419312520,239348020,3746,252902,2.26,3494271,10133880,11281800,21415680,217932340
2026-06,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,6840,1300,19.0,327391046,188312846,3026,251839,2.33,3446221,6178325,7633596,13811921,174500925
2026-06,TDA-CALI,Nutramerican Cali,Cali,140,6269,1705,27.2,431337791,247251091,3918,252984,2.3,3080984,8698060,8091075,16789135,230461956
2026-06,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1493,482,32.3,121711422,69452122,1086,252513,2.25,1789873,5676844,9592605,15269449,54182673
2026-06,TDA-MED,Nutramerican Medellín,Medellín,110,5144,1444,28.1,376202051,216694751,3343,260527,2.32,3420018,7851580,10492395,18343975,198350776
2026-06,TDA-PEI,Nutramerican Pereira,Pereira,72,3986,601,15.1,154545975,88511575,1389,257148,2.31,2146471,5521104,7971822,13492926,75018649
2026-07,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,3459,860,24.9,212201700,120992600,1961,246746,2.28,2357796,5767380,7811608,13578988,107413612
2026-07,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,3310,651,19.7,155113475,89109675,1459,238269,2.24,1988634,6663306,10218800,16882106,72227569
2026-07,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,7686,1581,20.6,393690632,225793132,3645,249013,2.31,3280755,10035120,12934905,22970025,202823107
2026-07,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,3767,1153,30.6,299681522,172440022,2685,259914,2.33,3154542,6352175,8288256,14640431,157799591
2026-07,TDA-CALI,Nutramerican Cali,Cali,140,9918,1665,16.8,427450498,244964498,3803,256727,2.28,3053217,11070080,5947077,17017157,227947341
2026-07,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1925,450,23.4,107283985,60833185,989,238408,2.2,1577705,5844328,9860128,15704456,45128729
2026-07,TDA-MED,Nutramerican Medellín,Medellín,110,4181,1399,33.5,346760876,198147876,3245,247863,2.32,3152371,7316430,6394245,13710675,184437201
2026-07,TDA-PEI,Nutramerican Pereira,Pereira,72,2288,574,25.1,134048500,76001900,1297,233533,2.26,1861784,4275792,6801588,11077380,64924520
2026-08,TDA-BAQ,Nutramerican Barranquilla,Barranquilla,90,4408,947,21.5,238821294,137107694,2152,252187,2.27,2653569,6382080,11616715,17998795,119108899
2026-08,TDA-BGA,Nutramerican Bucaramanga,Bucaramanga,78,2260,724,32.0,184259903,105266403,1655,254502,2.29,2362306,5393466,7168716,12562182,92704221
2026-08,TDA-BOGN,Nutramerican Bogotá Norte,Bogotá,120,6794,1428,21.0,360083442,204812542,3240,252159,2.27,3000695,7112880,8517044,15629924,189182618
2026-08,TDA-BOGS,Nutramerican Bogotá Kennedy,Bogotá,95,4765,1182,24.8,288413368,165414668,2665,244004,2.25,3035930,7072465,10416084,17488549,147926119
2026-08,TDA-CALI,Nutramerican Cali,Cali,140,6010,1506,25.1,378150440,216433240,3495,251095,2.32,2701074,12010880,8849476,20860356,195572884
2026-08,TDA-CUC,Nutramerican Cúcuta,Cúcuta,68,1965,474,24.1,114004329,66238929,1108,240515,2.34,1676534,4659836,11358025,16017861,50221068
2026-08,TDA-MED,Nutramerican Medellín,Medellín,110,4505,1229,27.3,305126382,173233282,2881,248272,2.34,2773876,7514760,9125352,16640112,156593170
2026-08,TDA-PEI,Nutramerican Pereira,Pereira,72,2168,548,25.3,136248532,78025132,1241,248628,2.26,1892340,4979952,13476960,18456912,59568220
