factura_id,cliente,canal,tipo_canal,pais,mes,fecha_factura,fecha_vencimiento,plazo_dias,valor_cop,pagada,dias_mora,estado
FV-202502-00062,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-02,2025-02-14,2025-04-30,75,155717686,True,0,Al día
FV-202502-00063,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-02,2025-02-23,2025-05-09,75,145118038,True,0,Al día
FV-202502-00064,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-02,2025-02-16,2025-05-02,75,111315482,True,0,Al día
FV-202502-00065,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-02,2025-02-27,2025-05-13,75,154271496,True,0,Al día
FV-202502-00070,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-02,2025-02-27,2025-04-28,60,224740441,True,0,Al día
FV-202502-00080,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-02,2025-02-11,2025-04-12,60,180290974,True,0,Al día
FV-202502-00090,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-02,2025-02-12,2025-03-29,45,169560848,True,0,Al día
FV-202502-00091,MiProteína,Distribuidores,Mayorista,Colombia,2025-02,2025-02-13,2025-03-30,45,275388791,True,0,Al día
FV-202502-00092,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-02,2025-02-27,2025-04-13,45,198195599,True,0,Al día
FV-202502-00093,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-02,2025-02-21,2025-04-07,45,112948314,True,0,Al día
FV-202502-00094,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-02,2025-02-27,2025-04-13,45,132012881,True,0,Al día
FV-202502-00095,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-02,2025-02-15,2025-04-01,45,227966508,True,0,Al día
FV-202502-00096,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-02,2025-02-05,2025-03-22,45,131534010,True,0,Al día
FV-202502-00097,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-02,2025-02-07,2025-03-24,45,263236891,True,0,Al día
FV-202502-00100,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-02,2025-02-19,2025-04-05,45,155455363,True,0,Al día
FV-202502-00101,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-02,2025-02-18,2025-04-04,45,83354056,True,0,Al día
FV-202502-00102,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-02,2025-02-23,2025-04-09,45,109734099,True,0,Al día
FV-202502-00103,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-02,2025-02-17,2025-04-03,45,78728539,True,0,Al día
FV-202502-00110,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-02,2025-02-19,2025-04-20,60,105093913,True,0,Al día
FV-202502-00111,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-02,2025-02-05,2025-04-06,60,158295184,True,0,Al día
FV-202502-00112,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-02,2025-02-10,2025-04-11,60,162923977,True,0,Al día
FV-202503-00120,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-03,2025-03-09,2025-05-23,75,218493322,True,0,Al día
FV-202503-00121,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-03,2025-03-09,2025-05-23,75,154688853,True,0,Al día
FV-202503-00122,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-03,2025-03-02,2025-05-16,75,140460074,True,0,Al día
FV-202503-00123,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-03,2025-03-17,2025-05-31,75,189044563,True,0,Al día
FV-202503-00124,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-03,2025-03-10,2025-05-24,75,187439866,True,0,Al día
FV-202503-00125,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-03,2025-03-01,2025-05-15,75,138650009,True,0,Al día
FV-202503-00130,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-03,2025-03-04,2025-05-03,60,299173470,True,0,Al día
FV-202503-00140,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-03,2025-03-22,2025-05-21,60,124378525,True,0,Al día
FV-202503-00150,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-03,2025-03-24,2025-05-08,45,232242416,True,0,Al día
FV-202503-00151,MiProteína,Distribuidores,Mayorista,Colombia,2025-03,2025-03-03,2025-04-17,45,147917745,True,0,Al día
FV-202503-00152,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-03,2025-03-05,2025-04-19,45,224882322,True,0,Al día
FV-202503-00153,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-03,2025-03-19,2025-05-03,45,199414652,True,0,Al día
FV-202503-00154,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-03,2025-03-20,2025-05-04,45,188427337,True,0,Al día
FV-202503-00155,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-03,2025-03-19,2025-05-03,45,177569688,True,0,Al día
FV-202503-00156,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-03,2025-03-23,2025-05-07,45,261889068,True,0,Al día
FV-202503-00157,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-03,2025-03-09,2025-04-23,45,236812502,True,0,Al día
FV-202503-00160,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-03,2025-03-22,2025-05-06,45,118921760,True,0,Al día
FV-202503-00161,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-03,2025-03-06,2025-04-20,45,112652610,True,0,Al día
FV-202503-00162,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-03,2025-03-08,2025-04-22,45,98560968,True,0,Al día
FV-202503-00163,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-03,2025-03-02,2025-04-16,45,80369087,True,0,Al día
FV-202503-00170,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-03,2025-03-12,2025-05-11,60,108753726,True,0,Al día
FV-202503-00171,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-03,2025-03-24,2025-05-23,60,140332498,True,0,Al día
FV-202503-00172,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-03,2025-03-17,2025-05-16,60,149466515,True,0,Al día
FV-202504-00180,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-04,2025-04-21,2025-07-05,75,112506614,True,0,Al día
FV-202504-00181,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-04,2025-04-26,2025-07-10,75,145895237,True,0,Al día
FV-202504-00182,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-04,2025-04-10,2025-06-24,75,199183937,True,0,Al día
FV-202504-00183,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-04,2025-04-06,2025-06-20,75,156647320,True,0,Al día
FV-202504-00184,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-04,2025-04-01,2025-06-15,75,98880917,True,0,Al día
FV-202504-00185,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-04,2025-04-27,2025-07-11,75,101239072,True,0,Al día
FV-202504-00190,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-04,2025-04-06,2025-06-05,60,135512125,True,0,Al día
FV-202504-00200,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-04,2025-04-10,2025-06-09,60,113601559,True,0,Al día
FV-202504-00210,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-04,2025-04-05,2025-05-20,45,148851322,True,0,Al día
FV-202504-00211,MiProteína,Distribuidores,Mayorista,Colombia,2025-04,2025-04-08,2025-05-23,45,204249104,True,0,Al día
FV-202504-00212,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-04,2025-04-06,2025-05-21,45,220863086,True,0,Al día
FV-202504-00213,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-04,2025-04-22,2025-06-06,45,193152772,True,0,Al día
FV-202504-00214,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-04,2025-04-23,2025-06-07,45,132789502,True,0,Al día
FV-202504-00215,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-04,2025-04-20,2025-06-04,45,206968972,True,0,Al día
FV-202504-00216,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-04,2025-04-10,2025-05-25,45,169774139,True,0,Al día
FV-202504-00217,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-04,2025-04-01,2025-05-16,45,137684523,True,0,Al día
FV-202504-00220,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-04,2025-04-22,2025-06-06,45,99480375,True,0,Al día
FV-202504-00221,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-04,2025-04-05,2025-05-20,45,135732865,False,468,Vencida +90
FV-202504-00222,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-04,2025-04-26,2025-06-10,45,124987602,True,0,Al día
FV-202504-00223,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-04,2025-04-04,2025-05-19,45,73252149,True,0,Al día
FV-202504-00230,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-04,2025-04-05,2025-06-04,60,131333020,True,0,Al día
FV-202504-00231,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-04,2025-04-07,2025-06-06,60,195113389,True,0,Al día
FV-202504-00232,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-04,2025-04-04,2025-06-03,60,123785504,True,0,Al día
FV-202505-00240,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-05,2025-05-06,2025-07-20,75,163136321,True,0,Al día
FV-202505-00241,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-05,2025-05-15,2025-07-29,75,157036314,True,0,Al día
FV-202505-00242,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-05,2025-05-05,2025-07-19,75,142603597,True,0,Al día
FV-202505-00243,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-05,2025-05-10,2025-07-24,75,107030897,True,0,Al día
FV-202505-00244,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-05,2025-05-26,2025-08-09,75,117433949,True,0,Al día
FV-202505-00245,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-05,2025-05-16,2025-07-30,75,171197044,True,0,Al día
FV-202505-00250,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-05,2025-05-09,2025-07-08,60,197955446,True,0,Al día
FV-202505-00260,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-05,2025-05-09,2025-07-08,60,180728881,True,0,Al día
FV-202505-00270,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-05,2025-05-09,2025-06-23,45,153083972,True,0,Al día
FV-202505-00271,MiProteína,Distribuidores,Mayorista,Colombia,2025-05,2025-05-25,2025-07-09,45,231123394,True,0,Al día
FV-202505-00272,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-05,2025-05-12,2025-06-26,45,140283197,True,0,Al día
FV-202505-00273,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-05,2025-05-26,2025-07-10,45,111783655,True,0,Al día
FV-202505-00274,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-05,2025-05-15,2025-06-29,45,124462799,True,0,Al día
FV-202505-00275,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-05,2025-05-24,2025-07-08,45,142554251,True,0,Al día
FV-202505-00276,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-05,2025-05-13,2025-06-27,45,165065102,True,0,Al día
FV-202505-00277,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-05,2025-05-23,2025-07-07,45,108379946,True,0,Al día
FV-202505-00280,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-05,2025-05-14,2025-06-28,45,109098052,True,0,Al día
FV-202505-00281,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-05,2025-05-04,2025-06-18,45,89588931,True,0,Al día
FV-202505-00282,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-05,2025-05-10,2025-06-24,45,65791427,True,0,Al día
FV-202505-00283,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-05,2025-05-14,2025-06-28,45,66392568,True,0,Al día
FV-202505-00290,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-05,2025-05-24,2025-07-23,60,135971391,True,0,Al día
FV-202505-00291,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-05,2025-05-19,2025-07-18,60,84740450,True,0,Al día
FV-202505-00292,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-05,2025-05-13,2025-07-12,60,119484703,True,0,Al día
FV-202506-00300,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-06,2025-06-17,2025-08-31,75,154179492,True,0,Al día
FV-202506-00301,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-06,2025-06-06,2025-08-20,75,119646715,True,0,Al día
FV-202506-00302,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-06,2025-06-19,2025-09-02,75,163470336,True,0,Al día
FV-202506-00303,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-06,2025-06-06,2025-08-20,75,131117193,True,0,Al día
FV-202506-00304,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-06,2025-06-10,2025-08-24,75,132176718,True,0,Al día
FV-202506-00305,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-06,2025-06-11,2025-08-25,75,161577070,True,0,Al día
FV-202506-00310,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-06,2025-06-06,2025-08-05,60,121050771,True,0,Al día
FV-202506-00320,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-06,2025-06-14,2025-08-13,60,214359626,True,0,Al día
FV-202506-00330,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-06,2025-06-25,2025-08-09,45,189509761,True,0,Al día
FV-202506-00331,MiProteína,Distribuidores,Mayorista,Colombia,2025-06,2025-06-07,2025-07-22,45,216889842,True,0,Al día
FV-202506-00332,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-06,2025-06-27,2025-08-11,45,215910803,True,0,Al día
FV-202506-00333,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-06,2025-06-03,2025-07-18,45,221990771,True,0,Al día
FV-202506-00334,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-06,2025-06-25,2025-08-09,45,226712749,False,387,Vencida +90
FV-202506-00335,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-06,2025-06-07,2025-07-22,45,278076349,True,0,Al día
FV-202506-00336,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-06,2025-06-13,2025-07-28,45,222525437,True,0,Al día
FV-202506-00337,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-06,2025-06-11,2025-07-26,45,241833685,True,0,Al día
FV-202506-00340,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-06,2025-06-25,2025-08-09,45,124792319,True,0,Al día
FV-202506-00341,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-06,2025-06-18,2025-08-02,45,108327674,True,0,Al día
FV-202506-00342,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-06,2025-06-15,2025-07-30,45,96336753,True,0,Al día
FV-202506-00343,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-06,2025-06-27,2025-08-11,45,137769054,True,0,Al día
FV-202506-00350,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-06,2025-06-23,2025-08-22,60,139236340,True,0,Al día
FV-202506-00351,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-06,2025-06-25,2025-08-24,60,151068633,True,0,Al día
FV-202506-00352,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-06,2025-06-01,2025-07-31,60,93985258,True,0,Al día
FV-202507-00360,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-07,2025-07-11,2025-09-24,75,86808899,True,0,Al día
FV-202507-00361,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-07,2025-07-09,2025-09-22,75,200585581,True,0,Al día
FV-202507-00362,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-07,2025-07-01,2025-09-14,75,107830433,True,0,Al día
FV-202507-00363,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-07,2025-07-13,2025-09-26,75,149392221,True,0,Al día
FV-202507-00364,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-07,2025-07-12,2025-09-25,75,93062101,True,0,Al día
FV-202507-00365,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-07,2025-07-15,2025-09-28,75,84499435,True,0,Al día
FV-202507-00370,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-07,2025-07-24,2025-09-22,60,193189268,True,0,Al día
FV-202507-00380,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-07,2025-07-04,2025-09-02,60,166628984,True,0,Al día
FV-202507-00390,Distribuidor México,Distribuidor México,Internacional,México,2025-07,2025-07-04,2025-09-02,60,39631151,True,0,Al día
FV-202507-00400,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-07,2025-07-24,2025-09-07,45,278892619,True,0,Al día
FV-202507-00401,MiProteína,Distribuidores,Mayorista,Colombia,2025-07,2025-07-06,2025-08-20,45,149942916,True,0,Al día
FV-202507-00402,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-07,2025-07-22,2025-09-05,45,165632733,True,0,Al día
FV-202507-00403,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-07,2025-07-21,2025-09-04,45,124070211,True,0,Al día
FV-202507-00404,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-07,2025-07-23,2025-09-06,45,132051495,True,0,Al día
FV-202507-00405,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-07,2025-07-14,2025-08-28,45,231012572,True,0,Al día
FV-202507-00406,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-07,2025-07-24,2025-09-07,45,277009455,True,0,Al día
FV-202507-00407,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-07,2025-07-18,2025-09-01,45,259442248,False,364,Vencida +90
FV-202507-00410,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-07,2025-07-05,2025-08-19,45,106742804,True,0,Al día
FV-202507-00411,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-07,2025-07-15,2025-08-29,45,145511245,True,0,Al día
FV-202507-00412,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-07,2025-07-19,2025-09-02,45,61309770,True,0,Al día
FV-202507-00413,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-07,2025-07-04,2025-08-18,45,119390310,True,0,Al día
FV-202507-00420,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-07,2025-07-15,2025-09-13,60,230735708,True,0,Al día
FV-202507-00421,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-07,2025-07-03,2025-09-01,60,277666534,True,0,Al día
FV-202507-00422,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-07,2025-07-15,2025-09-13,60,305583333,True,0,Al día
FV-202508-00430,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-08,2025-08-20,2025-11-03,75,89186333,True,0,Al día
FV-202508-00431,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-08,2025-08-04,2025-10-18,75,104907887,True,0,Al día
FV-202508-00432,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-08,2025-08-26,2025-11-09,75,179322496,True,0,Al día
FV-202508-00433,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-08,2025-08-17,2025-10-31,75,144291618,True,0,Al día
FV-202508-00434,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-08,2025-08-08,2025-10-22,75,85744508,True,0,Al día
FV-202508-00435,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-08,2025-08-24,2025-11-07,75,90697060,True,0,Al día
FV-202508-00440,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-08,2025-08-03,2025-10-02,60,154284895,True,0,Al día
FV-202508-00450,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-08,2025-08-17,2025-10-16,60,187788216,True,0,Al día
FV-202508-00460,Distribuidor México,Distribuidor México,Internacional,México,2025-08,2025-08-10,2025-10-09,60,96653734,True,0,Al día
FV-202508-00470,Suples Colombia,Distribuidores,Mayorista,Colombia,2025-08,2025-08-14,2025-09-28,45,200903493,True,0,Al día
FV-202508-00471,MiProteína,Distribuidores,Mayorista,Colombia,2025-08,2025-08-20,2025-10-04,45,179630080,True,0,Al día
FV-202508-00472,Suplementos Colombia,Distribuidores,Mayorista,Colombia,2025-08,2025-08-25,2025-10-09,45,203221684,True,0,Al día
FV-202508-00473,Nutrición Total,Distribuidores,Mayorista,Colombia,2025-08,2025-08-05,2025-09-19,45,188700066,True,0,Al día
FV-202508-00474,Distribuidora Andina,Distribuidores,Mayorista,Colombia,2025-08,2025-08-01,2025-09-15,45,106437714,True,0,Al día
FV-202508-00475,Mundo Fitness,Distribuidores,Mayorista,Colombia,2025-08,2025-08-11,2025-09-25,45,138930882,True,0,Al día
FV-202508-00476,Vital Supplements,Distribuidores,Mayorista,Colombia,2025-08,2025-08-26,2025-10-10,45,228490106,True,0,Al día
FV-202508-00477,Anabólicos del Valle,Distribuidores,Mayorista,Colombia,2025-08,2025-08-09,2025-09-23,45,231151302,True,0,Al día
FV-202508-00480,Bodytech,Gimnasios & Wellness,Especializado,Colombia,2025-08,2025-08-16,2025-09-30,45,139784718,True,0,Al día
FV-202508-00481,Smart Fit,Gimnasios & Wellness,Especializado,Colombia,2025-08,2025-08-22,2025-10-06,45,97519622,True,0,Al día
FV-202508-00482,Stark Gym,Gimnasios & Wellness,Especializado,Colombia,2025-08,2025-08-09,2025-09-23,45,85225216,True,0,Al día
FV-202508-00483,Gimnasios independientes,Gimnasios & Wellness,Especializado,Colombia,2025-08,2025-08-26,2025-10-10,45,60928624,True,0,Al día
FV-202508-00490,Cliente maquila lácteos,Maquila & Marca Propia,Maquila,Colombia,2025-08,2025-08-09,2025-10-08,60,167825516,True,0,Al día
FV-202508-00491,Marca privada retail,Maquila & Marca Propia,Maquila,Colombia,2025-08,2025-08-24,2025-10-23,60,199246205,True,0,Al día
FV-202508-00492,Marca privada gimnasios,Maquila & Marca Propia,Maquila,Colombia,2025-08,2025-08-02,2025-10-01,60,207711131,True,0,Al día
FV-202509-00500,Farmatodo,Cadenas & Farmacias,Retail,Colombia,2025-09,2025-09-24,2025-12-08,75,88116908,True,0,Al día
FV-202509-00501,Cruz Verde,Cadenas & Farmacias,Retail,Colombia,2025-09,2025-09-09,2025-11-23,75,111015846,True,0,Al día
FV-202509-00502,Droguerías La Rebaja,Cadenas & Farmacias,Retail,Colombia,2025-09,2025-09-17,2025-12-01,75,150571655,True,0,Al día
FV-202509-00503,Éxito,Cadenas & Farmacias,Retail,Colombia,2025-09,2025-09-24,2025-12-08,75,83275221,True,0,Al día
FV-202509-00504,Locatel,Cadenas & Farmacias,Retail,Colombia,2025-09,2025-09-19,2025-12-03,75,100627848,True,0,Al día
FV-202509-00505,Olímpica,Cadenas & Farmacias,Retail,Colombia,2025-09,2025-09-12,2025-11-26,75,97683144,True,0,Al día
FV-202509-00510,Distribuidor Ecuador,Distribuidor Ecuador,Internacional,Ecuador,2025-09,2025-09-15,2025-11-14,60,138572328,True,0,Al día
FV-202509-00520,Distribuidor Honduras,Distribuidor Honduras,Internacional,Honduras,2025-09,2025-09-27,2025-11-26,60,76405951,True,0,Al día
FV-202509-00530,Distribuidor México,Distribuidor México,Internacional,México,2025-09,2025-09-01,2025-10-31,60,66951564,True,0,Al día
