sku,producto,marca,categoria,canal,tipo_canal,pais,pvp_gondola_cop,precio_neto_cop,costo_unitario_cop,margen_cop,margen_pct
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,355800,284600,92100,192500,67.6
BIP-CLA-2N,BiPro Classic Natural 2 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,386800,328800,92100,236700,72.0
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,122800,122800,54600,68200,55.5
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,123900,123900,54600,69300,55.9
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,145400,101800,54600,47200,46.4
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,154700,102100,54600,47500,46.5
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,153000,110200,54600,55600,50.5
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,142100,105200,54600,50600,48.1
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,148000,106600,54600,52000,48.8
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,138200,102300,54600,47700,46.6
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,143200,106000,54600,51400,48.5
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,174100,139300,54600,84700,60.8
BIP-CLA-DIS,BiPro Classic Display sachets,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,184700,157000,54600,102400,65.2
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,338400,338400,138200,200200,59.2
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,324700,324700,138200,186500,57.4
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,390400,273300,138200,135100,49.4
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,397000,262000,138200,123800,47.3
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,396300,285300,138200,147100,51.6
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,367000,271600,138200,133400,49.1
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,395200,284500,138200,146300,51.4
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,393700,291300,138200,153100,52.6
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,383200,283600,138200,145400,51.3
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,488800,391000,138200,252800,64.7
BIP-CLA-3CC,BiPro Classic Cookies 3 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,505100,429300,138200,291100,67.8
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,327900,327900,138200,189700,57.9
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,324300,324300,138200,186100,57.4
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,399200,279400,138200,141200,50.5
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,406400,268200,138200,130000,48.5
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,408100,293800,138200,155600,53.0
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,375600,277900,138200,139700,50.3
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,401900,289400,138200,151200,52.2
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,378900,280400,138200,142200,50.7
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,391400,289600,138200,151400,52.3
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,464100,371300,138200,233100,62.8
BIP-CLA-3V,BiPro Classic Vainilla 3 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,492800,418900,138200,280700,67.0
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,327600,327600,138200,189400,57.8
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,322800,322800,138200,184600,57.2
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,394000,275800,138200,137600,49.9
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,413200,272700,138200,134500,49.3
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,377800,272000,138200,133800,49.2
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,366500,271200,138200,133000,49.0
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,390100,280900,138200,142700,50.8
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,376000,278200,138200,140000,50.3
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,405600,300100,138200,161900,53.9
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,473000,378400,138200,240200,63.5
BIP-CLA-3CA,BiPro Classic Capuccino 3 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,502800,427400,138200,289200,67.7
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Tiendas Nutramerican,Tienda propia,Colombia,243200,243200,97100,146100,60.1
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,nutramerican.com,E-commerce,Colombia,243300,243300,97100,146200,60.1
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Distribuidores,Mayorista,Colombia,281200,196800,97100,99700,50.7
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Cadenas & Farmacias,Retail,Colombia,308600,203700,97100,106600,52.3
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Gimnasios & Wellness,Especializado,Colombia,305000,219600,97100,122500,55.8
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Distribuidor Ecuador,Internacional,Ecuador,286600,212100,97100,115000,54.2
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Distribuidor México,Internacional,México,313100,225400,97100,128300,56.9
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Distribuidor Honduras,Internacional,Honduras,285100,211000,97100,113900,54.0
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Distribuidor Panamá,Internacional,Panamá,293600,217300,97100,120200,55.3
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Nutramerican España,Internacional,España,365200,292200,97100,195100,66.8
BIP-COM-21,BiPro Complex Vainilla 2.1 lb,BiPro,Módulos proteicos,Nutramerican USA LLC,Internacional,Estados Unidos,382500,325100,97100,228000,70.1
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Tiendas Nutramerican,Tienda propia,Colombia,255300,255300,94600,160700,62.9
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,nutramerican.com,E-commerce,Colombia,244600,244600,94600,150000,61.3
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Distribuidores,Mayorista,Colombia,279000,195300,94600,100700,51.6
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Cadenas & Farmacias,Retail,Colombia,309500,204300,94600,109700,53.7
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Gimnasios & Wellness,Especializado,Colombia,294800,212300,94600,117700,55.4
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Distribuidor Ecuador,Internacional,Ecuador,288700,213600,94600,119000,55.7
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Distribuidor México,Internacional,México,314900,226700,94600,132100,58.3
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Distribuidor Honduras,Internacional,Honduras,277000,205000,94600,110400,53.9
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Distribuidor Panamá,Internacional,Panamá,298800,221100,94600,126500,57.2
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Nutramerican España,Internacional,España,368600,294900,94600,200300,67.9
BIP-LIT-24,BiPro Lite 2.4 lb,BiPro,Control de peso,Nutramerican USA LLC,Internacional,Estados Unidos,382300,325000,94600,230400,70.9
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Tiendas Nutramerican,Tienda propia,Colombia,255100,255100,102100,153000,60.0
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,nutramerican.com,E-commerce,Colombia,246500,246500,102100,144400,58.6
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Distribuidores,Mayorista,Colombia,289400,202600,102100,100500,49.6
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Cadenas & Farmacias,Retail,Colombia,315800,208400,102100,106300,51.0
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Gimnasios & Wellness,Especializado,Colombia,303500,218500,102100,116400,53.3
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Distribuidor Ecuador,Internacional,Ecuador,297700,220300,102100,118200,53.7
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Distribuidor México,Internacional,México,305200,219700,102100,117600,53.5
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Distribuidor Honduras,Internacional,Honduras,294000,217600,102100,115500,53.1
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Distribuidor Panamá,Internacional,Panamá,292000,216100,102100,114000,52.8
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Nutramerican España,Internacional,España,352600,282100,102100,180000,63.8
BIP-MAS-3,BiPro Mass 3 lb,BiPro,Hipercalóricos,Nutramerican USA LLC,Internacional,Estados Unidos,361500,307300,102100,205200,66.8
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Tiendas Nutramerican,Tienda propia,Colombia,78000,78000,28800,49200,63.1
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,nutramerican.com,E-commerce,Colombia,81300,81300,28800,52500,64.6
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Distribuidores,Mayorista,Colombia,91200,63800,28800,35000,54.9
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Cadenas & Farmacias,Retail,Colombia,98100,64700,28800,35900,55.5
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Gimnasios & Wellness,Especializado,Colombia,100300,72200,28800,43400,60.1
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Distribuidor Ecuador,Internacional,Ecuador,94400,69900,28800,41100,58.8
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Distribuidor México,Internacional,México,101300,72900,28800,44100,60.5
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Distribuidor Honduras,Internacional,Honduras,89100,65900,28800,37100,56.3
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Distribuidor Panamá,Internacional,Panamá,89200,66000,28800,37200,56.4
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Nutramerican España,Internacional,España,119700,95800,28800,67000,69.9
MEG-CRE-2,Megaplex Creatine Power 2 lb,Megaplex,Energía y recuperación,Nutramerican USA LLC,Internacional,Estados Unidos,117700,100000,28800,71200,71.2
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Tiendas Nutramerican,Tienda propia,Colombia,300500,300500,102000,198500,66.1
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,nutramerican.com,E-commerce,Colombia,301300,301300,102000,199300,66.1
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Distribuidores,Mayorista,Colombia,346500,242500,102000,140500,57.9
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Cadenas & Farmacias,Retail,Colombia,384600,253800,102000,151800,59.8
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Gimnasios & Wellness,Especializado,Colombia,372100,267900,102000,165900,61.9
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Distribuidor Ecuador,Internacional,Ecuador,352100,260600,102000,158600,60.9
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Distribuidor México,Internacional,México,365600,263200,102000,161200,61.2
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Distribuidor Honduras,Internacional,Honduras,343300,254000,102000,152000,59.8
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Distribuidor Panamá,Internacional,Panamá,345300,255500,102000,153500,60.1
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Nutramerican España,Internacional,España,432600,346100,102000,244100,70.5
MEG-CRE-10,Megaplex Creatine Power 10 lb,Megaplex,Energía y recuperación,Nutramerican USA LLC,Internacional,Estados Unidos,454800,386600,102000,284600,73.6
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Tiendas Nutramerican,Tienda propia,Colombia,112800,112800,49400,63400,56.2
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,nutramerican.com,E-commerce,Colombia,117100,117100,49400,67700,57.8
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Distribuidores,Mayorista,Colombia,131400,92000,49400,42600,46.3
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Cadenas & Farmacias,Retail,Colombia,141200,93200,49400,43800,47.0
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Gimnasios & Wellness,Especializado,Colombia,131100,94400,49400,45000,47.7
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Distribuidor Ecuador,Internacional,Ecuador,134800,99800,49400,50400,50.5
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Distribuidor México,Internacional,México,142600,102700,49400,53300,51.9
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Distribuidor Honduras,Internacional,Honduras,132900,98300,49400,48900,49.7
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Distribuidor Panamá,Internacional,Panamá,144400,106900,49400,57500,53.8
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Nutramerican España,Internacional,España,170200,136200,49400,86800,63.7
MEG-GAI-3,Gainz 3 lb,Megaplex,Hipercalóricos,Nutramerican USA LLC,Internacional,Estados Unidos,171200,145500,49400,96100,66.0
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Tiendas Nutramerican,Tienda propia,Colombia,232900,232900,96800,136100,58.4
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,nutramerican.com,E-commerce,Colombia,215500,215500,96800,118700,55.1
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Distribuidores,Mayorista,Colombia,264100,184900,96800,88100,47.6
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Cadenas & Farmacias,Retail,Colombia,277200,183000,96800,86200,47.1
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Gimnasios & Wellness,Especializado,Colombia,258900,186400,96800,89600,48.1
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Distribuidor Ecuador,Internacional,Ecuador,263000,194600,96800,97800,50.3
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Distribuidor México,Internacional,México,270500,194800,96800,98000,50.3
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Distribuidor Honduras,Internacional,Honduras,253900,187900,96800,91100,48.5
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Distribuidor Panamá,Internacional,Panamá,255700,189200,96800,92400,48.8
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Nutramerican España,Internacional,España,328100,262500,96800,165700,63.1
MEG-GAI-64,Gainz Vainilla 6.4 lb,Megaplex,Hipercalóricos,Nutramerican USA LLC,Internacional,Estados Unidos,328100,278900,96800,182100,65.3
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Tiendas Nutramerican,Tienda propia,Colombia,76900,76900,31200,45700,59.4
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,nutramerican.com,E-commerce,Colombia,82500,82500,31200,51300,62.2
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Distribuidores,Mayorista,Colombia,93500,65400,31200,34200,52.3
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Cadenas & Farmacias,Retail,Colombia,99300,65500,31200,34300,52.4
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Gimnasios & Wellness,Especializado,Colombia,100000,72000,31200,40800,56.7
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Distribuidor Ecuador,Internacional,Ecuador,95100,70400,31200,39200,55.7
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Distribuidor México,Internacional,México,98900,71200,31200,40000,56.2
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Distribuidor Honduras,Internacional,Honduras,93300,69000,31200,37800,54.8
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Distribuidor Panamá,Internacional,Panamá,92900,68700,31200,37500,54.6
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Nutramerican España,Internacional,España,117900,94300,31200,63100,66.9
MEG-CAR-COC,Mega Carbs Limonada de Coco,Megaplex,Energía y recuperación,Nutramerican USA LLC,Internacional,Estados Unidos,124600,105900,31200,74700,70.5
MEG-CAR-CER,Mega Carbs Limón Cereza,Megaplex,Energía y recuperación,Tiendas Nutramerican,Tienda propia,Colombia,81300,81300,31200,50100,61.6
MEG-CAR-CER,Mega Carbs Limón Cereza,Megaplex,Energía y recuperación,nutramerican.com,E-commerce,Colombia,79600,79600,31200,48400,60.8
