pqr_id,fecha,mes,motivo,canal,ciudad,estado,horas_primera_respuesta,horas_cierre,cumple_sla_4h,csat,requiere_agente_humano
PQR-202501-00022,2025-01-09,2025-01,Solicitud de factura electrónica,Instagram / redes,Bogotá,Cerrado,1.9,39.7,True,4.0,False
PQR-202501-00023,2025-01-05,2025-01,Contenido incompleto del envase,WhatsApp,Cúcuta,Escalado,0.8,21.5,True,5.0,True
PQR-202501-00024,2025-01-22,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,1.4,9.0,True,4.0,False
PQR-202501-00025,2025-01-08,2025-01,Camiseta personalizada pendiente,Chat del sitio,Bogotá,Cerrado,0.2,41.7,True,3.0,False
PQR-202501-00026,2025-01-03,2025-01,Contenido incompleto del envase,WhatsApp,Bucaramanga,Escalado,0.1,10.3,True,4.0,True
PQR-202501-00027,2025-01-10,2025-01,Evento adverso reportado,Tienda física,Cali,Cerrado,24.7,134.8,False,3.0,True
PQR-202501-00028,2025-01-26,2025-01,Reclamo por precio o promoción,Chat del sitio,Bogotá,Cerrado,0.3,5.9,True,4.0,False
PQR-202501-00029,2025-01-09,2025-01,Camiseta personalizada pendiente,WhatsApp,Cartagena,Escalado,0.3,15.7,True,5.0,True
PQR-202501-00030,2025-01-25,2025-01,Demora en la entrega,WhatsApp,Cartagena,Cerrado,3.2,23.0,True,4.0,False
PQR-202501-00031,2025-01-08,2025-01,Cambio o garantía,WhatsApp,Medellín,Cerrado,3.1,23.9,True,4.0,False
PQR-202501-00032,2025-01-18,2025-01,Camiseta personalizada pendiente,Chat del sitio,Cali,Cerrado,9.9,53.4,False,3.0,False
PQR-202501-00033,2025-01-01,2025-01,Demora en la entrega,WhatsApp,Cali,Cerrado,3.0,4.7,True,5.0,False
PQR-202501-00034,2025-01-13,2025-01,Contenido incompleto del envase,Chat del sitio,Bogotá,Escalado,3.0,62.3,True,4.0,True
PQR-202501-00035,2025-01-23,2025-01,Producto averiado en transporte,Correo electrónico,Ibagué,Cerrado,2.4,21.1,True,4.0,False
PQR-202501-00036,2025-01-08,2025-01,Demora en la entrega,Tienda física,Bogotá,Cerrado,6.1,21.0,False,3.0,False
PQR-202501-00037,2025-01-20,2025-01,Producto averiado en transporte,Instagram / redes,Bogotá,Cerrado,0.5,9.1,True,5.0,False
PQR-202501-00038,2025-01-09,2025-01,Solicitud de factura electrónica,Tienda física,Cúcuta,Cerrado,0.7,11.8,True,3.0,False
PQR-202501-00039,2025-01-23,2025-01,Demora en la entrega,Línea gratuita #590,Bogotá,Cerrado,0.1,17.4,True,3.0,False
PQR-202501-00040,2025-01-08,2025-01,Duda sobre uso del producto,Instagram / redes,Cúcuta,Cerrado,1.6,19.9,True,4.0,False
PQR-202501-00041,2025-01-24,2025-01,Faltante en el pedido,Chat del sitio,Medellín,Cerrado,2.3,61.8,True,3.0,False
PQR-202501-00042,2025-01-24,2025-01,Faltante en el pedido,WhatsApp,Cali,Cerrado,1.3,27.5,True,3.0,False
PQR-202501-00043,2025-01-02,2025-01,Evento adverso reportado,Instagram / redes,Pereira,Cerrado,5.0,92.6,False,2.0,True
PQR-202501-00044,2025-01-10,2025-01,Faltante en el pedido,Tienda física,Medellín,Cerrado,10.2,132.7,False,2.0,False
PQR-202501-00045,2025-01-01,2025-01,Faltante en el pedido,WhatsApp,Barranquilla,Cerrado,0.8,1.9,True,4.0,False
PQR-202501-00046,2025-01-05,2025-01,Producto averiado en transporte,WhatsApp,Bogotá,Cerrado,0.2,16.2,True,4.0,False
PQR-202501-00047,2025-01-26,2025-01,Demora en la entrega,WhatsApp,Cúcuta,Cerrado,1.0,3.7,True,4.0,False
PQR-202501-00048,2025-01-20,2025-01,Demora en la entrega,Línea gratuita #590,Pereira,Cerrado,0.3,1.3,True,3.0,False
PQR-202501-00049,2025-01-20,2025-01,Demora en la entrega,Correo electrónico,Bogotá,Cerrado,2.1,16.9,True,3.0,False
PQR-202501-00050,2025-01-09,2025-01,Reclamo por precio o promoción,Línea gratuita #590,Manizales,Cerrado,3.1,51.2,True,5.0,False
PQR-202501-00051,2025-01-23,2025-01,Demora en la entrega,Instagram / redes,Medellín,Cerrado,2.2,11.7,True,3.0,False
PQR-202501-00052,2025-01-10,2025-01,Duda sobre uso del producto,Chat del sitio,Bogotá,Cerrado,0.5,5.6,True,5.0,False
PQR-202501-00053,2025-01-17,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Escalado,0.4,100.6,True,3.0,True
PQR-202501-00054,2025-01-18,2025-01,Reclamo por precio o promoción,Correo electrónico,Bogotá,Cerrado,3.1,14.5,True,4.0,False
PQR-202501-00055,2025-01-04,2025-01,Producto averiado en transporte,Línea gratuita #590,Medellín,Cerrado,3.8,16.5,True,3.0,False
PQR-202501-00056,2025-01-17,2025-01,Demora en la entrega,Tienda física,Bogotá,Cerrado,3.6,8.7,True,3.0,False
PQR-202501-00057,2025-01-13,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Escalado,0.1,40.2,True,3.0,True
PQR-202501-00058,2025-01-01,2025-01,Demora en la entrega,WhatsApp,Bogotá,Cerrado,2.9,69.6,True,4.0,False
PQR-202501-00059,2025-01-14,2025-01,Cambio o garantía,WhatsApp,Cali,Cerrado,5.8,103.5,False,2.0,False
PQR-202501-00060,2025-01-24,2025-01,Reclamo por precio o promoción,Tienda física,Barranquilla,Cerrado,0.2,47.1,True,5.0,False
PQR-202501-00061,2025-01-11,2025-01,Faltante en el pedido,WhatsApp,Medellín,Cerrado,1.8,20.1,True,4.0,False
PQR-202501-00062,2025-01-03,2025-01,Contenido incompleto del envase,Línea gratuita #590,Cali,Escalado,4.7,14.9,False,4.0,True
PQR-202501-00063,2025-01-25,2025-01,Demora en la entrega,Línea gratuita #590,Pereira,Cerrado,5.4,129.7,False,4.0,False
PQR-202501-00064,2025-01-02,2025-01,Contenido incompleto del envase,Línea gratuita #590,Medellín,Escalado,3.4,218.4,True,3.0,True
PQR-202501-00065,2025-01-15,2025-01,Camiseta personalizada pendiente,WhatsApp,Cúcuta,Escalado,4.4,88.1,False,2.0,True
PQR-202501-00066,2025-01-08,2025-01,Demora en la entrega,Instagram / redes,Pasto,Cerrado,2.6,18.0,True,3.0,False
PQR-202501-00067,2025-01-16,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,0.7,47.5,True,5.0,False
PQR-202501-00068,2025-01-12,2025-01,Evento adverso reportado,Instagram / redes,Cúcuta,Escalado,21.5,209.2,False,2.0,True
PQR-202501-00069,2025-01-20,2025-01,Solicitud de factura electrónica,Línea gratuita #590,Bogotá,Cerrado,0.6,22.5,True,2.0,False
PQR-202501-00070,2025-01-01,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,1.4,22.7,True,4.0,False
PQR-202501-00071,2025-01-18,2025-01,Contenido incompleto del envase,Chat del sitio,Cali,Escalado,1.3,34.8,True,4.0,True
PQR-202501-00072,2025-01-22,2025-01,Producto averiado en transporte,WhatsApp,Medellín,Cerrado,0.2,19.9,True,4.0,False
PQR-202501-00073,2025-01-22,2025-01,Reclamo por precio o promoción,WhatsApp,Bucaramanga,Cerrado,1.1,5.3,True,3.0,False
PQR-202501-00074,2025-01-05,2025-01,Solicitud de factura electrónica,Chat del sitio,Barranquilla,Cerrado,0.3,5.6,True,3.0,False
PQR-202501-00075,2025-01-08,2025-01,Faltante en el pedido,WhatsApp,Medellín,Cerrado,0.1,26.2,True,4.0,False
PQR-202501-00076,2025-01-19,2025-01,Demora en la entrega,Tienda física,Bogotá,Cerrado,3.2,24.6,True,4.0,False
PQR-202501-00077,2025-01-07,2025-01,Solicitud de factura electrónica,Línea gratuita #590,Villavicencio,Cerrado,0.2,2.7,True,4.0,False
PQR-202501-00078,2025-01-10,2025-01,Demora en la entrega,Tienda física,Cali,Cerrado,4.8,22.4,False,4.0,False
PQR-202501-00079,2025-01-12,2025-01,Reclamo por precio o promoción,WhatsApp,Barranquilla,Cerrado,0.2,12.5,True,3.0,False
PQR-202501-00080,2025-01-19,2025-01,Solicitud de factura electrónica,WhatsApp,Medellín,Cerrado,0.1,69.8,True,4.0,False
PQR-202501-00081,2025-01-02,2025-01,Duda sobre uso del producto,Instagram / redes,Bogotá,Cerrado,0.2,1.9,True,3.0,False
PQR-202501-00082,2025-01-15,2025-01,Reclamo por precio o promoción,WhatsApp,Bogotá,Cerrado,0.2,1.8,True,5.0,False
PQR-202501-00083,2025-01-08,2025-01,Faltante en el pedido,WhatsApp,Barranquilla,Cerrado,1.9,35.2,True,3.0,False
PQR-202501-00084,2025-01-27,2025-01,Camiseta personalizada pendiente,Línea gratuita #590,Cali,Cerrado,1.4,145.2,True,3.0,False
PQR-202501-00085,2025-01-12,2025-01,Solicitud de factura electrónica,WhatsApp,Pereira,Cerrado,0.6,4.0,True,3.0,False
PQR-202501-00086,2025-01-19,2025-01,Producto averiado en transporte,Chat del sitio,Cali,Cerrado,0.1,24.8,True,4.0,False
PQR-202501-00087,2025-01-20,2025-01,Producto averiado en transporte,Chat del sitio,Manizales,Cerrado,0.6,1.6,True,4.0,False
PQR-202501-00088,2025-01-23,2025-01,Solicitud de factura electrónica,WhatsApp,Manizales,Cerrado,1.1,13.8,True,3.0,False
PQR-202501-00089,2025-01-02,2025-01,Demora en la entrega,Línea gratuita #590,Cali,Cerrado,6.4,15.8,False,4.0,False
PQR-202501-00090,2025-01-12,2025-01,Cambio o garantía,WhatsApp,Medellín,Cerrado,2.1,26.9,True,5.0,False
PQR-202501-00091,2025-01-08,2025-01,Camiseta personalizada pendiente,Chat del sitio,Bogotá,Cerrado,1.8,48.4,True,4.0,False
PQR-202501-00092,2025-01-11,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Escalado,1.8,26.2,True,4.0,True
PQR-202501-00093,2025-01-12,2025-01,Demora en la entrega,Línea gratuita #590,Santa Marta,Cerrado,4.1,13.6,False,5.0,False
PQR-202501-00094,2025-01-03,2025-01,Producto averiado en transporte,Correo electrónico,Bogotá,Cerrado,7.4,9.4,False,4.0,False
PQR-202501-00095,2025-01-17,2025-01,Demora en la entrega,WhatsApp,Barranquilla,Cerrado,0.6,16.6,True,4.0,False
PQR-202501-00096,2025-01-19,2025-01,Camiseta personalizada pendiente,Tienda física,Cali,Escalado,1.3,15.6,True,3.0,True
PQR-202501-00097,2025-01-19,2025-01,Faltante en el pedido,Chat del sitio,Barranquilla,Cerrado,3.4,6.9,True,4.0,False
PQR-202501-00098,2025-01-10,2025-01,Contenido incompleto del envase,Línea gratuita #590,Manizales,Escalado,4.2,77.9,False,4.0,True
PQR-202501-00099,2025-01-10,2025-01,Producto averiado en transporte,WhatsApp,Cali,Cerrado,0.1,57.8,True,4.0,False
PQR-202501-00100,2025-01-24,2025-01,Producto averiado en transporte,Chat del sitio,Bogotá,Cerrado,0.8,37.2,True,4.0,False
PQR-202501-00101,2025-01-27,2025-01,Contenido incompleto del envase,Línea gratuita #590,Bogotá,Cerrado,10.1,131.4,False,3.0,False
PQR-202501-00102,2025-01-02,2025-01,Contenido incompleto del envase,Tienda física,Medellín,Escalado,0.2,59.1,True,4.0,True
PQR-202501-00103,2025-01-17,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,3.5,84.6,True,3.0,False
PQR-202501-00104,2025-01-08,2025-01,Evento adverso reportado,WhatsApp,Cartagena,Escalado,0.1,166.9,True,1.0,True
PQR-202501-00105,2025-01-08,2025-01,Demora en la entrega,Línea gratuita #590,Bogotá,Cerrado,3.9,31.5,True,5.0,False
PQR-202501-00106,2025-01-09,2025-01,Demora en la entrega,Tienda física,Medellín,Cerrado,1.5,50.3,True,4.0,False
PQR-202501-00107,2025-01-15,2025-01,Faltante en el pedido,Chat del sitio,Medellín,Cerrado,1.6,94.8,True,4.0,False
PQR-202501-00108,2025-01-02,2025-01,Reclamo por precio o promoción,Línea gratuita #590,Bogotá,Cerrado,0.2,12.9,True,5.0,False
PQR-202501-00109,2025-01-17,2025-01,Demora en la entrega,Línea gratuita #590,Bogotá,Cerrado,3.8,17.3,True,4.0,False
PQR-202501-00110,2025-01-03,2025-01,Demora en la entrega,WhatsApp,Bogotá,Cerrado,0.8,48.6,True,5.0,False
PQR-202501-00111,2025-01-06,2025-01,Faltante en el pedido,Chat del sitio,Manizales,Cerrado,0.8,35.3,True,4.0,False
PQR-202501-00112,2025-01-11,2025-01,Contenido incompleto del envase,Línea gratuita #590,Pereira,Cerrado,4.0,25.3,False,3.0,False
PQR-202501-00113,2025-01-03,2025-01,Faltante en el pedido,Tienda física,Cúcuta,Cerrado,3.2,25.1,True,4.0,False
PQR-202501-00114,2025-01-16,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Escalado,0.9,15.9,True,4.0,True
PQR-202501-00115,2025-01-06,2025-01,Demora en la entrega,Instagram / redes,Medellín,Cerrado,6.3,29.1,False,3.0,False
PQR-202501-00116,2025-01-21,2025-01,Cambio o garantía,WhatsApp,Armenia,Cerrado,4.9,25.5,False,5.0,False
PQR-202501-00117,2025-01-19,2025-01,Demora en la entrega,Correo electrónico,Medellín,Cerrado,18.2,33.7,False,3.0,False
PQR-202501-00118,2025-01-08,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,1.3,3.4,True,4.0,False
PQR-202501-00119,2025-01-19,2025-01,Faltante en el pedido,Línea gratuita #590,Neiva,Cerrado,0.1,31.9,True,3.0,False
PQR-202501-00120,2025-01-15,2025-01,Cambio o garantía,Línea gratuita #590,Cali,Cerrado,6.6,42.2,False,3.0,False
PQR-202501-00121,2025-01-11,2025-01,Evento adverso reportado,WhatsApp,Santa Marta,Cerrado,8.3,16.1,False,4.0,True
PQR-202501-00122,2025-01-15,2025-01,Faltante en el pedido,Chat del sitio,Bogotá,Cerrado,1.1,23.2,True,3.0,False
PQR-202501-00123,2025-01-14,2025-01,Producto averiado en transporte,Chat del sitio,Bogotá,Cerrado,0.6,73.4,True,4.0,False
PQR-202501-00124,2025-01-02,2025-01,Demora en la entrega,WhatsApp,Cali,Cerrado,0.8,17.5,True,4.0,False
PQR-202501-00125,2025-01-21,2025-01,Evento adverso reportado,Línea gratuita #590,Barranquilla,Cerrado,2.9,3.9,True,4.0,True
PQR-202501-00126,2025-01-21,2025-01,Contenido incompleto del envase,WhatsApp,Bogotá,Escalado,4.3,107.5,False,2.0,True
PQR-202501-00127,2025-01-11,2025-01,Demora en la entrega,Línea gratuita #590,Cartagena,Cerrado,3.6,5.0,True,4.0,False
PQR-202501-00128,2025-01-15,2025-01,Demora en la entrega,WhatsApp,Cartagena,Cerrado,0.1,23.4,True,4.0,False
PQR-202501-00129,2025-01-22,2025-01,Duda sobre uso del producto,WhatsApp,Bogotá,Cerrado,0.3,6.9,True,3.0,False
PQR-202501-00130,2025-01-11,2025-01,Evento adverso reportado,Tienda física,Manizales,Cerrado,4.9,110.2,False,2.0,True
PQR-202501-00131,2025-01-07,2025-01,Contenido incompleto del envase,Tienda física,Barranquilla,Cerrado,3.4,234.5,True,2.0,False
PQR-202501-00132,2025-01-07,2025-01,Reclamo por precio o promoción,WhatsApp,Bogotá,Cerrado,0.1,3.0,True,4.0,False
PQR-202501-00133,2025-01-10,2025-01,Reclamo por precio o promoción,Correo electrónico,Bogotá,Cerrado,10.3,85.3,False,4.0,False
PQR-202501-00134,2025-01-21,2025-01,Faltante en el pedido,WhatsApp,Cali,Cerrado,1.4,85.0,True,4.0,False
PQR-202501-00135,2025-01-11,2025-01,Cambio o garantía,Instagram / redes,Bogotá,Cerrado,11.5,63.4,False,5.0,False
PQR-202501-00136,2025-01-24,2025-01,Reclamo por precio o promoción,WhatsApp,Bogotá,Cerrado,1.8,12.9,True,3.0,False
PQR-202501-00137,2025-01-05,2025-01,Evento adverso reportado,WhatsApp,Cali,Cerrado,3.3,69.2,True,4.0,True
PQR-202501-00138,2025-01-10,2025-01,Demora en la entrega,WhatsApp,Santa Marta,Cerrado,1.1,3.2,True,3.0,False
PQR-202501-00139,2025-01-03,2025-01,Producto averiado en transporte,WhatsApp,Barranquilla,Cerrado,3.0,85.9,True,3.0,False
PQR-202501-00140,2025-01-17,2025-01,Camiseta personalizada pendiente,WhatsApp,Manizales,Escalado,0.1,27.0,True,5.0,True
PQR-202501-00141,2025-01-16,2025-01,Demora en la entrega,Línea gratuita #590,Manizales,Cerrado,1.1,64.0,True,3.0,False
PQR-202501-00142,2025-01-11,2025-01,Duda sobre uso del producto,Línea gratuita #590,Pereira,Cerrado,1.0,45.6,True,3.0,False
PQR-202501-00143,2025-01-27,2025-01,Demora en la entrega,WhatsApp,Bucaramanga,Cerrado,0.1,4.6,True,4.0,False
PQR-202501-00144,2025-01-02,2025-01,Reclamo por precio o promoción,WhatsApp,Barranquilla,Cerrado,0.8,29.5,True,4.0,False
PQR-202501-00145,2025-01-24,2025-01,Demora en la entrega,Línea gratuita #590,Bogotá,Cerrado,0.8,15.1,True,5.0,False
PQR-202501-00146,2025-01-20,2025-01,Contenido incompleto del envase,Instagram / redes,Bogotá,Escalado,10.2,66.3,False,5.0,True
PQR-202501-00147,2025-01-03,2025-01,Contenido incompleto del envase,WhatsApp,Medellín,Cerrado,1.2,35.7,True,4.0,False
PQR-202501-00148,2025-01-13,2025-01,Cambio o garantía,WhatsApp,Bucaramanga,Cerrado,1.1,6.6,True,3.0,False
PQR-202501-00149,2025-01-02,2025-01,Evento adverso reportado,Tienda física,Medellín,Cerrado,2.0,33.1,True,5.0,True
PQR-202501-00150,2025-01-19,2025-01,Demora en la entrega,Chat del sitio,Bucaramanga,Cerrado,3.4,60.6,True,4.0,False
PQR-202501-00151,2025-01-16,2025-01,Demora en la entrega,WhatsApp,Bogotá,Cerrado,0.4,89.9,True,3.0,False
PQR-202501-00152,2025-01-10,2025-01,Producto averiado en transporte,WhatsApp,Medellín,Cerrado,0.3,2.7,True,5.0,False
PQR-202501-00153,2025-01-06,2025-01,Demora en la entrega,Tienda física,Cali,Cerrado,3.6,59.0,True,5.0,False
PQR-202501-00154,2025-01-14,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,0.3,11.0,True,4.0,False
PQR-202501-00155,2025-01-27,2025-01,Solicitud de factura electrónica,WhatsApp,Barranquilla,Cerrado,3.2,7.8,True,4.0,False
PQR-202501-00156,2025-01-05,2025-01,Producto averiado en transporte,WhatsApp,Medellín,Cerrado,2.3,52.9,True,4.0,False
PQR-202501-00157,2025-01-19,2025-01,Cambio o garantía,WhatsApp,Cúcuta,Cerrado,0.1,1.5,True,4.0,False
PQR-202501-00158,2025-01-27,2025-01,Camiseta personalizada pendiente,WhatsApp,Cali,Cerrado,4.4,44.0,False,4.0,False
PQR-202501-00159,2025-01-01,2025-01,Evento adverso reportado,WhatsApp,Medellín,Cerrado,12.1,84.7,False,4.0,True
PQR-202501-00160,2025-01-07,2025-01,Cambio o garantía,WhatsApp,Bogotá,Cerrado,3.0,4.2,True,5.0,False
PQR-202501-00161,2025-01-10,2025-01,Faltante en el pedido,Línea gratuita #590,Bogotá,Cerrado,8.4,26.6,False,5.0,False
PQR-202501-00162,2025-01-06,2025-01,Camiseta personalizada pendiente,Chat del sitio,Bogotá,Cerrado,3.1,18.1,True,4.0,False
PQR-202501-00163,2025-01-16,2025-01,Solicitud de factura electrónica,WhatsApp,Medellín,Cerrado,0.7,3.5,True,4.0,False
PQR-202501-00164,2025-01-23,2025-01,Demora en la entrega,WhatsApp,Bogotá,Cerrado,2.1,23.2,True,5.0,False
PQR-202501-00165,2025-01-03,2025-01,Demora en la entrega,Tienda física,Barranquilla,Cerrado,0.2,8.0,True,5.0,False
PQR-202501-00166,2025-01-17,2025-01,Demora en la entrega,Chat del sitio,Medellín,Cerrado,0.9,29.7,True,4.0,False
PQR-202501-00167,2025-01-03,2025-01,Demora en la entrega,Línea gratuita #590,Ibagué,Cerrado,0.1,23.5,True,3.0,False
PQR-202501-00168,2025-01-02,2025-01,Demora en la entrega,Chat del sitio,Bogotá,Cerrado,1.1,7.8,True,3.0,False
PQR-202501-00169,2025-01-10,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Cerrado,2.0,72.2,True,5.0,False
PQR-202501-00170,2025-01-27,2025-01,Duda sobre uso del producto,WhatsApp,Bogotá,Cerrado,0.2,14.1,True,4.0,False
PQR-202501-00171,2025-01-26,2025-01,Evento adverso reportado,WhatsApp,Medellín,Cerrado,5.5,152.9,False,4.0,True
PQR-202501-00172,2025-01-17,2025-01,Reclamo por precio o promoción,WhatsApp,Ibagué,Cerrado,0.5,5.9,True,5.0,False
PQR-202501-00173,2025-01-19,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,1.8,2.8,True,3.0,False
PQR-202501-00174,2025-01-05,2025-01,Faltante en el pedido,Instagram / redes,Bogotá,Cerrado,3.9,53.3,True,4.0,False
PQR-202501-00175,2025-01-12,2025-01,Producto averiado en transporte,Chat del sitio,Bogotá,Cerrado,0.2,40.5,True,4.0,False
PQR-202501-00176,2025-01-01,2025-01,Producto averiado en transporte,Chat del sitio,Medellín,Cerrado,2.8,63.2,True,5.0,False
PQR-202501-00177,2025-01-10,2025-01,Demora en la entrega,WhatsApp,Bogotá,Cerrado,2.2,72.4,True,1.0,False
PQR-202501-00178,2025-01-19,2025-01,Camiseta personalizada pendiente,WhatsApp,Medellín,Escalado,2.4,36.1,True,3.0,True
PQR-202501-00179,2025-01-12,2025-01,Demora en la entrega,WhatsApp,Bogotá,Cerrado,0.1,60.0,True,3.0,False
PQR-202501-00180,2025-01-07,2025-01,Camiseta personalizada pendiente,Chat del sitio,Medellín,Escalado,0.4,57.0,True,4.0,True
PQR-202501-00181,2025-01-23,2025-01,Demora en la entrega,WhatsApp,Cali,Cerrado,1.0,97.8,True,2.0,False
PQR-202501-00182,2025-01-13,2025-01,Demora en la entrega,Línea gratuita #590,Bogotá,Cerrado,2.0,88.7,True,3.0,False
PQR-202501-00183,2025-01-05,2025-01,Reclamo por precio o promoción,Línea gratuita #590,Cali,Cerrado,0.5,11.3,True,5.0,False
PQR-202501-00184,2025-01-22,2025-01,Solicitud de factura electrónica,Chat del sitio,Bogotá,Cerrado,0.4,26.8,True,4.0,False
PQR-202501-00185,2025-01-26,2025-01,Faltante en el pedido,WhatsApp,Bogotá,Cerrado,0.9,7.1,True,4.0,False
PQR-202501-00186,2025-01-20,2025-01,Solicitud de factura electrónica,Línea gratuita #590,Neiva,Cerrado,2.8,8.1,True,3.0,False
PQR-202501-00187,2025-01-22,2025-01,Demora en la entrega,Línea gratuita #590,Barranquilla,Cerrado,1.5,77.4,True,2.0,False
PQR-202501-00188,2025-01-03,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Cerrado,3.0,41.8,True,4.0,False
PQR-202501-00189,2025-01-03,2025-01,Cambio o garantía,Tienda física,Cali,Cerrado,1.2,57.6,True,3.0,False
PQR-202501-00190,2025-01-26,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Cerrado,0.6,1.9,True,4.0,False
PQR-202501-00191,2025-01-01,2025-01,Solicitud de factura electrónica,WhatsApp,Cali,Cerrado,0.1,2.2,True,4.0,False
PQR-202501-00192,2025-01-02,2025-01,Solicitud de factura electrónica,Línea gratuita #590,Villavicencio,Cerrado,0.7,16.0,True,3.0,False
PQR-202501-00193,2025-01-04,2025-01,Demora en la entrega,Correo electrónico,Cali,Cerrado,9.0,21.5,False,4.0,False
PQR-202501-00194,2025-01-07,2025-01,Demora en la entrega,Correo electrónico,Bogotá,Cerrado,2.7,7.3,True,5.0,False
PQR-202501-00195,2025-01-07,2025-01,Cambio o garantía,WhatsApp,Bogotá,Cerrado,1.4,17.5,True,3.0,False
PQR-202501-00196,2025-01-19,2025-01,Solicitud de factura electrónica,WhatsApp,Bogotá,Cerrado,2.7,7.3,True,5.0,False
PQR-202501-00197,2025-01-20,2025-01,Faltante en el pedido,Correo electrónico,Bogotá,Cerrado,2.9,5.4,True,5.0,False
PQR-202501-00198,2025-01-10,2025-01,Faltante en el pedido,Chat del sitio,Bogotá,Cerrado,0.6,126.6,True,3.0,False
PQR-202501-00199,2025-01-12,2025-01,Demora en la entrega,WhatsApp,Medellín,Cerrado,0.9,25.1,True,3.0,False
PQR-202501-00200,2025-01-05,2025-01,Contenido incompleto del envase,Instagram / redes,Cartagena,Escalado,9.1,187.9,False,3.0,True
PQR-202501-00201,2025-01-14,2025-01,Producto averiado en transporte,Tienda física,Cartagena,Cerrado,3.3,27.4,True,4.0,False
PQR-202501-00202,2025-01-05,2025-01,Camiseta personalizada pendiente,WhatsApp,Bogotá,Escalado,0.6,52.5,True,5.0,True
PQR-202501-00203,2025-01-21,2025-01,Producto averiado en transporte,Chat del sitio,Bogotá,Cerrado,1.5,14.8,True,5.0,False
