mes,canal,inversion_cop,ingresos_cop,roas,clientes_nuevos,impresiones,clics,cac_cop
2026-01,Eventos & Ferias,64949514,127475881,1.96,822,4393325,72302,79014.0
2026-02,Meta Ads,158626662,523992430,3.3,1507,8052365,88621,105260.0
2026-02,Google Ads,103927813,480286958,4.62,1132,7379714,112844,91809.0
2026-02,TikTok Ads,65638618,138192199,2.11,748,2545065,39212,87752.0
2026-02,YouTube,32819309,61576565,1.88,319,1453838,17572,102882.0
2026-02,Email & CRM,16409654,195716870,11.93,193,1318636,10778,85024.0
2026-02,WhatsApp,16409654,178369503,10.87,185,942704,9143,88701.0
2026-02,Megaplex Stars,87518158,273980245,3.13,777,5112626,86250,112636.0
2026-02,Orgánico / SEO,0,416779869,,547,186155,8370,0.0
2026-02,Eventos & Ferias,65638618,113791088,1.73,562,2652399,53460,116795.0
2026-03,Meta Ads,122370980,534952121,4.37,1146,5380398,160550,106781.0
2026-03,Google Ads,80174090,360678103,4.5,729,4025089,46424,109978.0
2026-03,TikTok Ads,50636267,103727511,2.05,562,3045685,28401,90100.0
2026-03,YouTube,25318133,60541861,2.39,233,1129659,17017,108662.0
2026-03,Email & CRM,12659066,132798667,10.49,145,872249,13642,87304.0
2026-03,WhatsApp,12659066,111528049,8.81,149,613430,14601,84960.0
2026-03,Megaplex Stars,67515023,177539343,2.63,723,3681540,40598,93382.0
2026-03,Orgánico / SEO,0,518860375,,384,389310,9929,0.0
2026-03,Eventos & Ferias,50636267,97775775,1.93,515,4163086,62520,98323.0
2026-04,Meta Ads,98695912,298759338,3.03,1659,5139274,79734,59491.0
2026-04,Google Ads,64662839,295811413,4.57,1077,3204151,36313,60040.0
2026-04,TikTok Ads,40839688,121623328,2.98,515,3405625,53673,79300.0
2026-04,YouTube,20419844,50386793,2.47,239,867128,11807,85439.0
2026-04,Email & CRM,10209922,104848654,10.27,171,419510,7684,59707.0
2026-04,WhatsApp,10209922,86533140,8.48,137,690914,6142,74525.0
2026-04,Megaplex Stars,54452917,185694885,3.41,810,4363826,39884,67226.0
2026-04,Orgánico / SEO,0,368518682,,550,386707,17415,0.0
2026-04,Eventos & Ferias,40839688,82477686,2.02,642,1776006,43683,63613.0
2026-05,Meta Ads,98447706,404365111,4.11,1329,4243473,56411,74077.0
2026-05,Google Ads,64500221,318297367,4.93,1158,3256465,57168,55700.0
2026-05,TikTok Ads,40736981,140096573,3.44,633,1705406,48218,64355.0
2026-05,YouTube,20368490,53713068,2.64,298,1232100,18337,68351.0
2026-05,Email & CRM,10184245,110741802,10.87,198,423334,7486,51436.0
2026-05,WhatsApp,10184245,99074132,9.73,162,444662,11794,62866.0
2026-05,Megaplex Stars,54315975,151279231,2.79,974,2343740,64832,55766.0
2026-05,Orgánico / SEO,0,505803933,,492,342103,17609,0.0
2026-05,Eventos & Ferias,40736981,80323453,1.97,636,3634958,44912,64052.0
2026-06,Meta Ads,130611528,475000567,3.64,2113,6074781,94048,61813.0
2026-06,Google Ads,85573070,457586842,5.35,1194,5550706,47690,71669.0
2026-06,TikTok Ads,54046149,179105380,3.31,938,3724638,30419,57618.0
2026-06,YouTube,27023074,76160550,2.82,453,2174038,27988,59654.0
2026-06,Email & CRM,13511537,222660731,16.48,177,569677,8584,76336.0
2026-06,WhatsApp,13511537,133930120,9.91,236,1043168,14081,57252.0
2026-06,Megaplex Stars,72061533,169901701,2.36,1105,5687383,47628,65214.0
2026-06,Orgánico / SEO,0,389757945,,513,404474,16553,0.0
2026-06,Eventos & Ferias,54046149,109325619,2.02,650,2423981,77831,83148.0
2026-07,Meta Ads,118605634,356014763,3.0,1450,5406233,106401,81797.0
2026-07,Google Ads,77707139,385002899,4.95,933,5341929,60377,83287.0
2026-07,TikTok Ads,49078193,86226607,1.76,708,2941026,40058,69319.0
2026-07,YouTube,24539096,57116111,2.33,389,1291315,13880,63083.0
2026-07,Email & CRM,12269548,142251299,11.59,182,485027,9062,67415.0
2026-07,WhatsApp,12269548,93224673,7.6,146,705065,7146,84038.0
2026-07,Megaplex Stars,65437591,234713337,3.59,695,5233945,37739,94155.0
2026-07,Orgánico / SEO,0,359575146,,515,386087,16854,0.0
2026-07,Eventos & Ferias,49078193,90277090,1.84,764,2687163,28853,64238.0
2026-08,Meta Ads,137807100,378417189,2.75,1450,10324504,197875,95039.0
2026-08,Google Ads,90287410,377723138,4.18,936,3691152,52006,96461.0
2026-08,TikTok Ads,57023627,139892499,2.45,555,2571594,42623,102745.0
2026-08,YouTube,28511813,74361516,2.61,306,1364929,15990,93176.0
2026-08,Email & CRM,14255906,180859527,12.69,142,916036,16549,100394.0
2026-08,WhatsApp,14255906,134402290,9.43,196,641630,16101,72734.0
2026-08,Megaplex Stars,76031503,192884719,2.54,757,3053014,65462,100438.0
2026-08,Orgánico / SEO,0,481664478,,675,356073,13614,0.0
2026-08,Eventos & Ferias,57023627,123785273,2.17,728,2321923,35129,78329.0
