ensayo_id,lote_id,fecha,mes,sku,producto,linea,proteina_declarada_g,proteina_medida_g,cumple_proteina,humedad_pct,aerobios_ufc_g,metales_pesados_ppm,metodo,resultado
EN-00027,L202607-01395,2026-07-13,2026-07,ALI-PAN-WAF,Protein Pancake & Waffle,Horneados & Mezclas,24.3,26.5,True,3.67,2774,0.124,NIR (analizador infrarrojo),Aprobado
EN-00028,L202509-00622,2025-09-09,2025-09,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,26.6,28.1,True,3.65,1660,0.008,NIR (analizador infrarrojo),Aprobado
EN-00029,L202508-00541,2025-08-13,2025-08,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,24.9,24.9,True,2.09,1764,0.012,NIR (analizador infrarrojo),Aprobado
EN-00030,L202509-00596,2025-09-22,2025-09,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,22.8,23.0,True,3.44,384,0.153,NIR (analizador infrarrojo),Aprobado
EN-00031,L202507-00493,2025-07-13,2025-07,RAD-PWD,Radical Power Drink polvo,Polvos & Envasado,25.8,25.7,True,4.73,377,0.029,NIR (analizador infrarrojo),Aprobado
EN-00032,L202607-01392,2026-07-14,2026-07,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,22.1,22.9,True,3.07,2021,0.085,NIR (analizador infrarrojo),Aprobado
EN-00033,L202512-00880,2025-12-25,2025-12,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,24.8,25.1,True,5.36,1424,0.075,Microbiología,Aprobado
EN-00034,L202603-01063,2026-03-04,2026-03,ALI-CAK-CHO,Protein Cake Chocolate,Horneados & Mezclas,26.9,24.9,False,4.02,247,0.03,NIR (analizador infrarrojo),Cuarentena
EN-00035,L202506-00379,2025-06-06,2025-06,MEG-CAR-COC,Mega Carbs Limonada de Coco,Polvos & Envasado,23.4,24.2,True,4.28,268,0.039,Absorción atómica,Aprobado
EN-00036,L202508-00531,2025-08-16,2025-08,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,25.0,25.7,True,3.36,555,0.049,Kjeldahl,Aprobado
EN-00037,L202602-00996,2026-02-01,2026-02,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,24.3,23.3,True,4.31,768,0.163,NIR (analizador infrarrojo),Aprobado
EN-00038,L202605-01282,2026-05-16,2026-05,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),26.7,26.2,True,3.74,509,0.114,NIR (analizador infrarrojo),Aprobado
EN-00039,L202512-00863,2025-12-06,2025-12,RAD-ENX,Energy X,Polvos & Envasado,25.9,26.3,True,3.81,689,0.18,Microbiología,Aprobado
EN-00040,L202602-00998,2026-02-19,2026-02,BIP-CLA-3CC,BiPro Classic Cookies 3 lb,Polvos & Envasado,25.1,26.5,True,4.6,373,0.109,NIR (analizador infrarrojo),Aprobado
EN-00041,L202510-00650,2025-10-20,2025-10,ALI-FIT-COC,Fitbar Coco,Barras & Snacks,23.8,24.9,True,3.01,698,0.032,Kjeldahl,Aprobado
EN-00042,L202511-00737,2025-11-17,2025-11,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,26.1,24.4,False,3.67,2765,0.079,Absorción atómica,Aprobado
EN-00043,L202502-00096,2025-02-06,2025-02,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,26.7,27.8,True,2.7,359,0.032,Kjeldahl,Aprobado
EN-00044,L202504-00264,2025-04-17,2025-04,RAD-PWD,Radical Power Drink polvo,Polvos & Envasado,24.8,24.9,True,4.27,198,0.076,NIR (analizador infrarrojo),Aprobado
EN-00045,L202501-00072,2025-01-18,2025-01,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,23.9,24.6,True,3.62,476,0.077,NIR (analizador infrarrojo),Aprobado
EN-00046,L202501-00038,2025-01-03,2025-01,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,23.8,24.5,True,2.61,582,0.051,Kjeldahl,Aprobado
EN-00047,L202502-00112,2025-02-07,2025-02,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,26.7,26.4,True,5.1,920,0.067,Absorción atómica,Cuarentena
EN-00048,L202605-01229,2026-05-01,2026-05,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,25.3,24.6,True,3.32,186,0.047,NIR (analizador infrarrojo),Aprobado
EN-00049,L202510-00699,2025-10-01,2025-10,NUT-ZOL,Zolé Vainilla 450 g,Polvos & Envasado,24.9,26.2,True,2.78,1348,0.158,NIR (analizador infrarrojo),Aprobado
EN-00050,L202507-00431,2025-07-14,2025-07,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,24.8,26.3,True,4.84,208,0.051,Kjeldahl,Aprobado
EN-00051,L202604-01150,2026-04-26,2026-04,ALI-CAK-VAN,Protein Cake Vainilla,Horneados & Mezclas,22.8,22.6,True,3.14,5115,0.033,NIR (analizador infrarrojo),Aprobado
EN-00052,L202502-00102,2025-02-06,2025-02,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,25.9,26.9,True,3.63,1417,0.127,NIR (analizador infrarrojo),Aprobado
EN-00053,L202606-01307,2026-06-07,2026-06,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,24.0,23.8,True,2.37,696,0.035,Microbiología,Aprobado
EN-00054,L202506-00393,2025-06-23,2025-06,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,26.5,27.8,True,2.82,635,0.022,NIR (analizador infrarrojo),Aprobado
EN-00055,L202511-00741,2025-11-13,2025-11,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,22.8,23.3,True,4.4,346,0.0,Kjeldahl,Aprobado
EN-00056,L202512-00826,2025-12-17,2025-12,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,26.4,26.5,True,3.27,1136,0.13,NIR (analizador infrarrojo),Aprobado
EN-00057,L202501-00061,2025-01-06,2025-01,NUT-VEG-400,Nutra Vegan Protein Mocaccino,Polvos & Envasado,23.1,22.7,True,3.18,478,0.208,NIR (analizador infrarrojo),Aprobado
EN-00058,L202510-00652,2025-10-24,2025-10,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,23.2,23.9,True,3.43,239,0.032,Kjeldahl,Aprobado
EN-00059,L202505-00331,2025-05-13,2025-05,RAD-ENX,Energy X,Polvos & Envasado,25.9,24.8,True,4.09,187,0.06,NIR (analizador infrarrojo),Rechazado
EN-00060,L202608-01485,2026-08-03,2026-08,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,24.6,25.4,True,3.54,163,0.034,Kjeldahl,Aprobado
EN-00061,L202512-00872,2025-12-25,2025-12,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),26.3,27.0,True,2.95,1827,0.025,NIR (analizador infrarrojo),Aprobado
EN-00062,L202504-00211,2025-04-12,2025-04,ALI-CAK-CHO,Protein Cake Chocolate,Horneados & Mezclas,25.7,25.7,True,4.88,8449,0.006,NIR (analizador infrarrojo),Aprobado
EN-00063,L202505-00288,2025-05-08,2025-05,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,25.0,26.3,True,4.25,1223,0.105,Kjeldahl,Aprobado
EN-00064,L202604-01165,2026-04-06,2026-04,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,23.6,24.8,True,3.91,437,0.041,NIR (analizador infrarrojo),Aprobado
EN-00065,L202508-00511,2025-08-16,2025-08,ALI-CAK-VAN,Protein Cake Vainilla,Horneados & Mezclas,24.5,25.4,True,3.89,669,0.034,Kjeldahl,Aprobado
EN-00066,L202504-00276,2025-04-08,2025-04,STK-GLU,Gluta Stack,Polvos & Envasado,24.5,25.3,True,2.48,863,0.132,NIR (analizador infrarrojo),Aprobado
EN-00067,L202608-01533,2026-08-16,2026-08,RAD-MYT-24,Myth Legendary Pre-Workout x24,Bebidas RTD (lata),24.6,24.3,True,4.78,829,0.098,NIR (analizador infrarrojo),Aprobado
EN-00068,L202507-00448,2025-07-27,2025-07,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,23.2,24.0,True,3.75,904,0.152,NIR (analizador infrarrojo),Aprobado
EN-00069,L202502-00117,2025-02-21,2025-02,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,26.7,27.1,True,3.3,72,0.008,NIR (analizador infrarrojo),Aprobado
EN-00070,L202604-01187,2026-04-01,2026-04,MEG-SOY,Mega Soy,Polvos & Envasado,26.1,23.5,False,3.43,260,0.085,Kjeldahl,Aprobado
EN-00071,L202604-01166,2026-04-07,2026-04,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,23.9,24.2,True,3.58,2020,0.106,NIR (analizador infrarrojo),Aprobado
EN-00072,L202512-00817,2025-12-19,2025-12,BIP-CLA-2C,BiPro Classic Chocolate 2 lb,Polvos & Envasado,26.9,27.4,True,2.21,218,0.324,Microbiología,Aprobado
EN-00073,L202505-00285,2025-05-18,2025-05,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,24.6,23.9,True,2.98,238,0.026,Kjeldahl,Aprobado
EN-00074,L202510-00713,2025-10-04,2025-10,STK-BUR-L24,Burner Stack Lata · paca x24,Bebidas RTD (lata),26.2,25.2,True,4.87,401,0.126,Microbiología,Aprobado
EN-00075,L202505-00314,2025-05-08,2025-05,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,23.5,22.8,True,3.53,867,0.116,NIR (analizador infrarrojo),Aprobado
EN-00076,L202509-00643,2025-09-21,2025-09,STK-CRE-SAC,Crea Stack Display sachets,Sachets & Display,24.6,24.6,True,1.79,49,0.115,Kjeldahl,Rechazado
EN-00077,L202602-01028,2026-02-15,2026-02,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,25.2,24.7,True,5.33,479,0.081,Kjeldahl,Aprobado
EN-00078,L202603-01085,2026-03-17,2026-03,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,22.1,22.1,True,4.07,1127,0.099,NIR (analizador infrarrojo),Aprobado
EN-00079,L202601-00956,2026-01-12,2026-01,RAD-MYT-12,Myth Legendary Pre-Workout x12,Bebidas RTD (lata),23.7,25.3,True,3.06,1893,0.018,NIR (analizador infrarrojo),Aprobado
EN-00080,L202510-00684,2025-10-24,2025-10,MEG-SOY,Mega Soy,Polvos & Envasado,26.7,26.7,True,3.0,456,0.006,NIR (analizador infrarrojo),Aprobado
EN-00081,L202503-00205,2025-03-01,2025-03,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,25.0,24.9,True,4.82,779,0.042,Kjeldahl,Aprobado
EN-00082,L202505-00287,2025-05-12,2025-05,ALI-PAN-WAF,Protein Pancake & Waffle,Horneados & Mezclas,26.5,29.0,True,3.82,1053,0.154,NIR (analizador infrarrojo),Aprobado
EN-00083,L202512-00829,2025-12-24,2025-12,BIP-MAS-3,BiPro Mass 3 lb,Polvos & Envasado,23.9,24.2,True,3.64,884,0.008,NIR (analizador infrarrojo),Aprobado
EN-00084,L202512-00839,2025-12-18,2025-12,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,23.9,24.4,True,2.57,852,0.021,Kjeldahl,Cuarentena
EN-00085,L202510-00649,2025-10-21,2025-10,ALI-FIT-CHO,Fitbar Chocolate,Barras & Snacks,23.1,23.3,True,3.45,868,0.009,NIR (analizador infrarrojo),Aprobado
EN-00086,L202606-01316,2026-06-07,2026-06,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,23.3,23.9,True,2.07,1164,0.016,NIR (analizador infrarrojo),Aprobado
EN-00087,L202606-01339,2026-06-08,2026-06,NUT-C,Nutra-C Ácido Ascórbico 200 g,Polvos & Envasado,25.8,27.5,True,2.51,244,0.161,NIR (analizador infrarrojo),Aprobado
EN-00088,L202501-00064,2025-01-05,2025-01,NUT-ZOL,Zolé Vainilla 450 g,Polvos & Envasado,22.7,23.9,True,4.2,1020,0.04,NIR (analizador infrarrojo),Aprobado
EN-00089,L202510-00673,2025-10-24,2025-10,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,23.8,23.5,True,3.97,687,0.003,Microbiología,Aprobado
EN-00090,L202608-01479,2026-08-24,2026-08,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,24.5,25.6,True,4.1,568,0.105,NIR (analizador infrarrojo),Aprobado
EN-00091,L202501-00059,2025-01-20,2025-01,NUT-RX,Nut-Rx Vainilla 400 g,Polvos & Envasado,25.1,25.1,True,4.33,210,0.071,NIR (analizador infrarrojo),Aprobado
EN-00092,L202512-00867,2025-12-20,2025-12,RAD-MYT-24,Myth Legendary Pre-Workout x24,Bebidas RTD (lata),22.5,22.2,True,3.77,317,0.037,NIR (analizador infrarrojo),Aprobado
EN-00093,L202505-00309,2025-05-22,2025-05,MEG-CRE-2,Megaplex Creatine Power 2 lb,Polvos & Envasado,25.8,25.1,True,1.83,786,0.008,NIR (analizador infrarrojo),Aprobado
EN-00094,L202502-00141,2025-02-01,2025-02,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),22.5,22.7,True,2.34,1180,0.083,NIR (analizador infrarrojo),Aprobado
EN-00095,L202509-00631,2025-09-26,2025-09,RAD-PWD,Radical Power Drink polvo,Polvos & Envasado,23.7,22.1,False,4.01,613,0.058,Kjeldahl,Aprobado
EN-00096,L202507-00508,2025-07-14,2025-07,STK-GLU,Gluta Stack,Polvos & Envasado,26.5,26.7,True,4.24,253,0.158,NIR (analizador infrarrojo),Aprobado
EN-00097,L202601-00971,2026-01-14,2026-01,STK-COL,Collagen Stack 585 g,Polvos & Envasado,25.7,24.5,True,3.46,1260,0.06,NIR (analizador infrarrojo),Aprobado
EN-00098,L202511-00770,2025-11-03,2025-11,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,26.5,28.0,True,2.59,181,0.118,NIR (analizador infrarrojo),Aprobado
EN-00099,L202503-00207,2025-03-12,2025-03,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,25.0,25.3,True,3.46,229,0.313,NIR (analizador infrarrojo),Aprobado
EN-00100,L202510-00694,2025-10-10,2025-10,NUT-POP-PK,Nutra Pops pack x12,Polvos & Envasado,23.2,23.6,True,3.56,800,0.001,NIR (analizador infrarrojo),Aprobado
EN-00101,L202601-00965,2026-01-03,2026-01,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),25.9,28.1,True,2.85,2114,0.206,Kjeldahl,Aprobado
EN-00102,L202603-01079,2026-03-17,2026-03,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,23.4,25.5,True,3.59,196,0.082,NIR (analizador infrarrojo),Aprobado
EN-00103,L202602-01042,2026-02-10,2026-02,RAD-ENX,Energy X,Polvos & Envasado,26.0,27.5,True,3.48,432,0.105,NIR (analizador infrarrojo),Aprobado
EN-00104,L202607-01441,2026-07-25,2026-07,NUT-SB-DIS,Nutra Smart Baby Display,Sachets & Display,26.1,27.4,True,3.8,1189,0.018,NIR (analizador infrarrojo),Aprobado
EN-00105,L202509-00586,2025-09-03,2025-09,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,24.6,24.4,True,4.6,486,0.027,Kjeldahl,Aprobado
EN-00106,L202607-01452,2026-07-09,2026-07,RAD-PWD-TAR,Radical Power Drink tarro,Polvos & Envasado,24.1,25.0,True,3.81,60,0.227,NIR (analizador infrarrojo),Aprobado
EN-00107,L202601-00936,2026-01-08,2026-01,MER-BAC,Nutramerican Backpack,Maquila externa,24.2,24.7,True,2.59,655,0.081,NIR (analizador infrarrojo),Aprobado
EN-00108,L202504-00250,2025-04-15,2025-04,MEG-SOY,Mega Soy,Polvos & Envasado,24.1,23.7,True,3.19,375,0.106,NIR (analizador infrarrojo),Aprobado
EN-00109,L202608-01476,2026-08-20,2026-08,ALI-PAN-TRA,Protein Pancake Tradicional,Horneados & Mezclas,23.1,24.2,True,3.79,1143,0.127,NIR (analizador infrarrojo),Aprobado
EN-00110,L202501-00028,2025-01-20,2025-01,MEG-CAR-CER,Mega Carbs Limón Cereza,Polvos & Envasado,26.9,29.7,True,4.53,1611,0.0,NIR (analizador infrarrojo),Aprobado
EN-00111,L202502-00118,2025-02-21,2025-02,NUT-C,Nutra-C Ácido Ascórbico 200 g,Polvos & Envasado,24.6,25.5,True,4.38,254,0.179,Kjeldahl,Aprobado
EN-00112,L202501-00010,2025-01-19,2025-01,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,26.1,24.3,False,2.78,2207,0.006,NIR (analizador infrarrojo),Aprobado
EN-00113,L202602-00987,2026-02-27,2026-02,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,26.5,28.3,True,3.63,292,0.145,Microbiología,Aprobado
EN-00114,L202507-00489,2025-07-27,2025-07,RAD-MYT-12,Myth Legendary Pre-Workout x12,Bebidas RTD (lata),25.9,28.1,True,3.57,1137,0.022,NIR (analizador infrarrojo),Aprobado
EN-00115,L202608-01509,2026-08-05,2026-08,MEG-SOY,Mega Soy,Polvos & Envasado,22.7,22.2,True,2.81,2081,0.139,NIR (analizador infrarrojo),Aprobado
EN-00116,L202508-00548,2025-08-14,2025-08,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,23.4,23.5,True,3.24,1335,0.001,NIR (analizador infrarrojo),Aprobado
EN-00117,L202606-01333,2026-06-08,2026-06,MEG-NIT-FR,Nitro Shock Frutos Rojos,Polvos & Envasado,24.0,22.9,True,4.41,396,0.165,Microbiología,Aprobado
EN-00118,L202603-01065,2026-03-10,2026-03,ALI-CAK-VAN,Protein Cake Vainilla,Horneados & Mezclas,25.3,25.1,True,2.87,416,0.066,NIR (analizador infrarrojo),Aprobado
EN-00119,L202606-01320,2026-06-17,2026-06,BIP-LIT-24,BiPro Lite 2.4 lb,Polvos & Envasado,23.7,24.5,True,3.74,377,0.029,Absorción atómica,Aprobado
EN-00120,L202601-00972,2026-01-13,2026-01,STK-COL,Collagen Stack 585 g,Polvos & Envasado,24.6,24.7,True,2.94,240,0.028,NIR (analizador infrarrojo),Aprobado
EN-00121,L202511-00733,2025-11-13,2025-11,ALI-PAN-WAF,Protein Pancake & Waffle,Horneados & Mezclas,24.5,24.4,True,3.54,339,0.047,NIR (analizador infrarrojo),Aprobado
EN-00122,L202605-01288,2026-05-17,2026-05,STK-CRE-SAC,Crea Stack Display sachets,Sachets & Display,22.1,23.2,True,3.56,509,0.1,NIR (analizador infrarrojo),Cuarentena
EN-00123,L202602-01003,2026-02-10,2026-02,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,26.1,26.6,True,4.41,796,0.025,NIR (analizador infrarrojo),Aprobado
EN-00124,L202512-00849,2025-12-14,2025-12,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,26.9,28.2,True,4.39,188,0.031,NIR (analizador infrarrojo),Aprobado
EN-00125,L202505-00295,2025-05-10,2025-05,BIP-CLA-2V,BiPro Classic Vainilla 2 lb,Polvos & Envasado,24.0,23.8,True,3.45,825,0.005,NIR (analizador infrarrojo),Aprobado
EN-00126,L202506-00371,2025-06-22,2025-06,BIP-CLA-DIS,BiPro Classic Display sachets,Sachets & Display,24.6,25.7,True,2.87,229,0.007,NIR (analizador infrarrojo),Aprobado
EN-00127,L202508-00547,2025-08-18,2025-08,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,26.7,26.6,True,4.55,375,0.004,NIR (analizador infrarrojo),Cuarentena
EN-00128,L202608-01494,2026-08-05,2026-08,BIP-COM-21,BiPro Complex Vainilla 2.1 lb,Polvos & Envasado,26.2,27.2,True,4.23,1939,0.168,NIR (analizador infrarrojo),Aprobado
EN-00129,L202507-00472,2025-07-02,2025-07,NUT-BAL,Nutra Balance x8 sobres,Sachets & Display,22.7,23.3,True,4.07,1231,0.24,Microbiología,Aprobado
EN-00130,L202503-00173,2025-03-16,2025-03,MEG-GAI-3,Gainz 3 lb,Polvos & Envasado,25.8,24.0,False,3.0,6791,0.008,NIR (analizador infrarrojo),Aprobado
EN-00131,L202509-00639,2025-09-07,2025-09,STK-BUR-TAR,Burner Stack 360 g,Polvos & Envasado,24.6,23.9,True,4.2,178,0.036,Kjeldahl,Aprobado
EN-00132,L202501-00018,2025-01-21,2025-01,BIP-CLA-2N,BiPro Classic Natural 2 lb,Polvos & Envasado,23.8,23.9,True,2.81,90,0.075,NIR (analizador infrarrojo),Aprobado
EN-00133,L202506-00384,2025-06-22,2025-06,MEG-GAI-64,Gainz Vainilla 6.4 lb,Polvos & Envasado,25.3,26.8,True,3.82,229,0.088,NIR (analizador infrarrojo),Aprobado
EN-00134,L202507-00507,2025-07-10,2025-07,STK-CRE-TAR,Crea Stack 1.3 lb,Polvos & Envasado,23.0,22.8,True,4.28,595,0.172,Microbiología,Aprobado
EN-00135,L202502-00147,2025-02-27,2025-02,STK-GLU,Gluta Stack,Polvos & Envasado,26.6,26.1,True,3.92,470,0.302,Kjeldahl,Aprobado
EN-00136,L202503-00201,2025-03-27,2025-03,RAD-RES-4,Rescue · paca x4,Bebidas RTD (lata),25.6,26.7,True,4.11,365,0.104,Kjeldahl,Aprobado
EN-00137,L202505-00347,2025-05-27,2025-05,STK-COL,Collagen Stack 585 g,Polvos & Envasado,23.6,24.0,True,3.42,348,0.124,NIR (analizador infrarrojo),Aprobado
EN-00138,L202502-00119,2025-02-08,2025-02,NUT-POP-CAJ,Nutra Pops caja,Polvos & Envasado,23.7,23.7,True,2.94,230,0.084,Microbiología,Rechazado
EN-00139,L202607-01405,2026-07-13,2026-07,BIP-CLA-3CC,BiPro Classic Cookies 3 lb,Polvos & Envasado,24.4,25.5,True,4.23,462,0.141,NIR (analizador infrarrojo),Aprobado
EN-00140,L202605-01289,2026-05-02,2026-05,STK-CRE-SAC,Crea Stack Display sachets,Sachets & Display,22.6,22.2,True,3.73,363,0.035,NIR (analizador infrarrojo),Aprobado
EN-00141,L202603-01099,2026-03-04,2026-03,MEG-GAI-3,Gainz 3 lb,Polvos & Envasado,23.7,23.7,True,2.16,834,0.071,NIR (analizador infrarrojo),Aprobado
EN-00142,L202603-01074,2026-03-22,2026-03,BIP-CLA-09V,BiPro Classic Vainilla 0.9 lb,Polvos & Envasado,22.4,23.1,True,3.56,510,0.0,NIR (analizador infrarrojo),Aprobado
