oc_id,mes,fecha_orden,proveedor_id,insumo,origen,moneda,critico,kg,precio_unitario_usd,valor_usd,trm_orden,trm_pago,costo_cop,diferencia_en_cambio_cop,lead_time_plan_dias,lead_time_real_dias,dias_atraso,a_tiempo
OC-202504-0037,2025-04,2025-04-11,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,9555.3,5.98,0.0,4233,4233,222724664,0,12,6,-6,True
OC-202504-0038,2025-04,2025-04-09,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,8643.9,3.16,0.0,4233,4233,106469879,0,15,14,-1,True
OC-202504-0039,2025-04,2025-04-17,MP-011,Cacao y saborizantes,Colombia,COP,0,6336.9,3.4,0.0,4233,4233,83906724,0,18,23,5,True
OC-202504-0040,2025-04,2025-04-22,MP-012,"Envases, tarros y tapas",Colombia,COP,1,6783.7,6.7,0.0,4233,4233,177287124,0,22,22,0,True
OC-202504-0041,2025-04,2025-04-26,MP-013,Latas y tapas para RTD,Colombia,COP,1,7011.1,3.9,0.0,4233,4233,106567018,0,34,40,6,False
OC-202505-0042,2025-05,2025-05-22,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,29300.8,8.87,260009.32,4152,4021,1079558712,-34061221,62,67,5,True
OC-202505-0043,2025-05,2025-05-26,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,11718.2,15.68,183704.1,4152,4021,762739423,-24065237,74,82,8,False
OC-202505-0044,2025-05,2025-05-06,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,4598.0,10.49,48245.57,4152,4021,200315623,-6320170,68,72,4,True
OC-202505-0045,2025-05,2025-05-18,MP-004,Creatina monohidrato,Alemania,USD,1,2992.9,12.1,36210.82,4152,4021,150347343,-4743618,55,49,-6,True
OC-202505-0046,2025-05,2025-05-04,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,4093.2,2.48,10137.16,4152,4021,42089470,-1327967,65,65,0,True
OC-202505-0047,2025-05,2025-05-03,MP-012,"Envases, tarros y tapas",Colombia,COP,1,2812.9,6.01,0.0,4152,4152,65897071,0,22,27,5,True
OC-202505-0048,2025-05,2025-05-04,MP-013,Latas y tapas para RTD,Colombia,COP,1,7434.8,8.84,0.0,4152,4152,256350123,0,34,44,10,False
OC-202505-0049,2025-05,2025-05-01,MP-014,Empaque flexible y sachets,Colombia,COP,0,7482.0,7.98,0.0,4152,4152,232711560,0,20,20,0,True
OC-202506-0050,2025-06,2025-06-04,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,26519.7,8.49,225033.49,4088,4113,919936899,5625837,62,67,5,True
OC-202506-0051,2025-06,2025-06-15,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,10165.7,14.57,148084.52,4088,4113,605369505,3702112,74,81,7,False
OC-202506-0052,2025-06,2025-06-02,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,4048.9,12.38,50138.6,4088,4113,204966577,1253464,68,71,3,True
OC-202506-0053,2025-06,2025-06-09,MP-004,Creatina monohidrato,Alemania,USD,1,3200.5,15.03,48102.32,4088,4113,196642270,1202557,55,56,1,True
OC-202506-0054,2025-06,2025-06-10,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,7517.4,4.6,34560.02,4088,4113,141281371,864000,65,63,-2,True
OC-202506-0055,2025-06,2025-06-08,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,12263.0,5.42,0.0,4088,4088,259330994,0,12,6,-6,True
OC-202506-0056,2025-06,2025-06-21,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,8632.1,1.57,0.0,4088,4088,52821361,0,15,19,4,True
OC-202506-0057,2025-06,2025-06-18,MP-012,"Envases, tarros y tapas",Colombia,COP,1,6575.9,1.46,0.0,4088,4088,37422550,0,22,21,-1,True
OC-202506-0058,2025-06,2025-06-26,MP-013,Latas y tapas para RTD,Colombia,COP,1,4825.0,2.73,0.0,4088,4088,51392025,0,34,43,9,False
OC-202506-0059,2025-06,2025-06-09,MP-014,Empaque flexible y sachets,Colombia,COP,0,6362.6,6.6,0.0,4088,4088,163692750,0,20,23,3,True
OC-202507-0060,2025-07,2025-07-06,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,26161.5,7.84,205121.96,4021,4218,824795396,40409025,62,61,-1,True
OC-202507-0061,2025-07,2025-07-07,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,11482.0,12.62,144954.8,4021,4218,582863232,28556094,74,75,1,True
OC-202507-0062,2025-07,2025-07-11,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,3438.0,10.92,37546.94,4021,4218,150976254,7396747,68,70,2,True
OC-202507-0063,2025-07,2025-07-19,MP-004,Creatina monohidrato,Alemania,USD,1,2560.5,14.57,37319.15,4021,4218,150060296,7351872,55,57,2,True
OC-202507-0064,2025-07,2025-07-27,MP-005,Colágeno hidrolizado bovino,Brasil,USD,0,8107.8,1.5,12195.99,4021,4218,49040086,2402610,38,49,11,False
OC-202507-0065,2025-07,2025-07-14,MP-006,Proteína vegetal de arveja,Canadá,USD,0,3229.8,1.74,5631.73,4021,4218,22645192,1109451,58,58,0,True
OC-202507-0066,2025-07,2025-07-09,MP-007,Cafeína anhidra y taurina,China,USD,0,5378.8,2.02,10847.53,4021,4218,43617922,2136963,82,78,-4,True
OC-202507-0067,2025-07,2025-07-03,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,7470.0,1.58,11787.21,4021,4218,47396370,2322080,65,72,7,False
OC-202507-0068,2025-07,2025-07-08,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,8487.4,3.8,0.0,4021,4021,125879268,0,12,12,0,True
OC-202507-0069,2025-07,2025-07-13,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,5381.4,8.48,0.0,4021,4021,178052724,0,15,15,0,True
OC-202507-0070,2025-07,2025-07-14,MP-012,"Envases, tarros y tapas",Colombia,COP,1,6120.1,8.2,0.0,4021,4021,195754424,0,22,15,-7,True
OC-202507-0071,2025-07,2025-07-16,MP-013,Latas y tapas para RTD,Colombia,COP,1,4175.1,6.36,0.0,4021,4021,103536566,0,34,36,2,True
OC-202507-0072,2025-07,2025-07-07,MP-014,Empaque flexible y sachets,Colombia,COP,0,8638.3,6.91,0.0,4021,4021,232955595,0,20,15,-5,True
OC-202508-0073,2025-08,2025-08-01,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,25648.8,8.35,214076.69,4113,4157,880497418,9419374,62,56,-6,True
OC-202508-0074,2025-08,2025-08-07,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9925.2,15.43,153164.83,4113,4157,629966929,6739252,74,82,8,False
OC-202508-0075,2025-08,2025-08-07,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,4605.5,11.09,51055.66,4113,4157,209991931,2246449,68,70,2,True
OC-202508-0076,2025-08,2025-08-26,MP-004,Creatina monohidrato,Alemania,USD,1,3856.0,13.99,53944.74,4113,4157,221874731,2373568,55,55,0,True
OC-202508-0077,2025-08,2025-08-12,MP-006,Proteína vegetal de arveja,Canadá,USD,0,6187.0,6.2,38351.34,4113,4157,157739041,1687458,58,52,-6,True
OC-202508-0078,2025-08,2025-08-13,MP-007,Cafeína anhidra y taurina,China,USD,0,6437.9,6.59,42418.71,4113,4157,174468137,1866423,82,86,4,True
OC-202508-0079,2025-08,2025-08-19,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,3506.7,4.99,17514.97,4113,4157,72039054,770658,65,71,6,False
OC-202508-0080,2025-08,2025-08-23,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,7226.7,4.49,0.0,4113,4113,126517278,0,12,12,0,True
OC-202508-0081,2025-08,2025-08-09,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,6116.5,2.66,0.0,4113,4113,63482078,0,15,12,-3,True
OC-202508-0082,2025-08,2025-08-18,MP-011,Cacao y saborizantes,Colombia,COP,0,7697.9,5.7,0.0,4113,4113,170992674,0,18,19,1,True
OC-202508-0083,2025-08,2025-08-16,MP-012,"Envases, tarros y tapas",Colombia,COP,1,6523.5,4.13,0.0,4113,4113,105008754,0,22,29,7,False
OC-202508-0084,2025-08,2025-08-16,MP-013,Latas y tapas para RTD,Colombia,COP,1,5112.2,8.46,0.0,4113,4113,168770858,0,34,51,17,False
OC-202509-0085,2025-09,2025-09-02,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,26989.3,9.44,254717.97,4218,4109,1074400409,-27764259,62,61,-1,True
OC-202509-0086,2025-09,2025-09-20,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,10559.3,13.36,141089.35,4218,4109,595114870,-15378738,74,71,-3,True
OC-202509-0087,2025-09,2025-09-23,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,5230.1,11.22,58701.94,4218,4109,247604769,-6398511,68,62,-6,True
OC-202509-0088,2025-09,2025-09-01,MP-004,Creatina monohidrato,Alemania,USD,1,1794.8,13.53,24281.87,4218,4109,102420940,-2646724,55,49,-6,True
OC-202509-0089,2025-09,2025-09-19,MP-005,Colágeno hidrolizado bovino,Brasil,USD,0,9294.9,5.04,46865.71,4218,4109,197679544,-5108361,38,38,0,True
OC-202509-0090,2025-09,2025-09-04,MP-006,Proteína vegetal de arveja,Canadá,USD,0,8266.0,4.23,34938.13,4218,4109,147369019,-3808255,58,57,-1,True
OC-202509-0091,2025-09,2025-09-01,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,9236.9,7.06,65228.63,4218,4109,275134376,-7109921,65,65,0,True
OC-202509-0092,2025-09,2025-09-11,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,3820.1,7.87,0.0,4218,4218,117243231,0,15,20,5,True
OC-202509-0093,2025-09,2025-09-08,MP-012,"Envases, tarros y tapas",Colombia,COP,1,4188.8,4.73,0.0,4218,4218,77264947,0,22,14,-8,True
OC-202509-0094,2025-09,2025-09-15,MP-013,Latas y tapas para RTD,Colombia,COP,1,11173.0,2.55,0.0,4218,4218,111097099,0,34,40,6,False
OC-202509-0095,2025-09,2025-09-07,MP-014,Empaque flexible y sachets,Colombia,COP,0,7894.9,5.3,0.0,4218,4218,163132376,0,20,26,6,False
OC-202510-0096,2025-10,2025-10-19,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,25971.9,8.62,223770.39,4157,4037,930213529,-26852447,62,67,5,True
OC-202510-0097,2025-10,2025-10-13,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9229.0,14.18,130823.67,4157,4037,543833978,-15698839,74,79,5,True
OC-202510-0098,2025-10,2025-10-26,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,3444.6,9.34,32164.21,4157,4037,133706641,-3859705,68,59,-9,True
OC-202510-0099,2025-10,2025-10-14,MP-004,Creatina monohidrato,Alemania,USD,1,2927.1,12.14,35544.96,4157,4037,147760401,-4265395,55,46,-9,True
OC-202510-0100,2025-10,2025-10-02,MP-006,Proteína vegetal de arveja,Canadá,USD,0,9918.6,8.64,85662.27,4157,4037,356098050,-10279472,58,54,-4,True
OC-202510-0101,2025-10,2025-10-09,MP-007,Cafeína anhidra y taurina,China,USD,0,8938.5,2.05,18339.84,4157,4037,76238695,-2200780,82,90,8,False
OC-202510-0102,2025-10,2025-10-25,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,4054.3,4.75,19255.16,4157,4037,80043697,-2310619,65,66,1,True
OC-202510-0103,2025-10,2025-10-19,MP-011,Cacao y saborizantes,Colombia,COP,0,5634.8,1.78,0.0,4157,4157,39048645,0,18,17,-1,True
OC-202510-0104,2025-10,2025-10-19,MP-012,"Envases, tarros y tapas",Colombia,COP,1,300.0,8.0,0.0,4157,4157,9355808,0,22,18,-4,True
OC-202510-0105,2025-10,2025-10-09,MP-013,Latas y tapas para RTD,Colombia,COP,1,3974.9,6.73,0.0,4157,4157,104394786,0,34,39,5,True
OC-202510-0106,2025-10,2025-10-16,MP-014,Empaque flexible y sachets,Colombia,COP,0,7152.4,3.21,0.0,4157,4157,89442870,0,20,19,-1,True
OC-202511-0107,2025-11,2025-11-17,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,24152.8,8.79,212306.38,4109,3997,872366918,-23778314,62,67,5,True
OC-202511-0108,2025-11,2025-11-15,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9693.9,13.89,134615.14,4109,3997,553133609,-15076895,74,77,3,True
OC-202511-0109,2025-11,2025-11-23,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,6879.2,12.06,82954.5,4109,3997,340860035,-9290903,68,68,0,True
OC-202511-0110,2025-11,2025-11-15,MP-004,Creatina monohidrato,Alemania,USD,1,3330.3,12.28,40896.61,4109,3997,168044156,-4580419,55,58,3,True
OC-202511-0111,2025-11,2025-11-24,MP-005,Colágeno hidrolizado bovino,Brasil,USD,0,10305.4,7.95,81942.91,4109,3997,336703412,-9177605,38,34,-4,True
OC-202511-0112,2025-11,2025-11-24,MP-006,Proteína vegetal de arveja,Canadá,USD,0,4264.3,3.87,16511.89,4109,3997,67847351,-1849331,58,49,-9,True
OC-202511-0113,2025-11,2025-11-04,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,2759.4,7.61,20988.98,4109,3997,86243733,-2350766,65,65,0,True
OC-202511-0114,2025-11,2025-11-15,MP-010,"Endulzantes (sucralosa, stevia)",Colombia,COP,0,8460.3,7.03,0.0,4109,4109,232086389,0,15,10,-5,True
OC-202511-0115,2025-11,2025-11-10,MP-012,"Envases, tarros y tapas",Colombia,COP,1,2813.4,2.23,0.0,4109,4109,24511547,0,22,20,-2,True
OC-202511-0116,2025-11,2025-11-16,MP-013,Latas y tapas para RTD,Colombia,COP,1,6782.5,5.15,0.0,4109,4109,136099227,0,34,31,-3,True
OC-202512-0117,2025-12,2025-12-11,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,33296.6,8.91,296582.24,4037,4078,1197302512,12159871,62,59,-3,True
OC-202512-0118,2025-12,2025-12-27,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,11680.7,16.15,188619.28,4037,4078,761456023,7733390,74,84,10,False
OC-202512-0119,2025-12,2025-12-27,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,3261.5,11.3,36861.7,4037,4078,148810668,1511329,68,67,-1,True
OC-202512-0120,2025-12,2025-12-23,MP-004,Creatina monohidrato,Alemania,USD,1,3372.5,13.3,44854.74,4037,4078,181078599,1839044,55,59,4,True
OC-202512-0121,2025-12,2025-12-01,MP-006,Proteína vegetal de arveja,Canadá,USD,0,7198.2,1.76,12633.95,4037,4078,51003275,517992,58,65,7,False
OC-202512-0122,2025-12,2025-12-05,MP-007,Cafeína anhidra y taurina,China,USD,0,6952.5,3.58,24867.89,4037,4078,100391660,1019583,82,73,-9,True
OC-202512-0123,2025-12,2025-12-15,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,9190.9,7.51,69002.54,4037,4078,278563256,2829104,65,62,-3,True
OC-202512-0124,2025-12,2025-12-25,MP-011,Cacao y saborizantes,Colombia,COP,0,5179.3,7.7,0.0,4037,4037,155517729,0,18,18,0,True
OC-202512-0125,2025-12,2025-12-11,MP-012,"Envases, tarros y tapas",Colombia,COP,1,4189.2,1.63,0.0,4037,4037,26628605,0,22,17,-5,True
OC-202512-0126,2025-12,2025-12-09,MP-013,Latas y tapas para RTD,Colombia,COP,1,9313.4,5.27,0.0,4037,4037,191503802,0,34,40,6,False
OC-202601-0127,2026-01,2026-01-19,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,29354.4,8.53,250447.79,3997,4143,1001039809,36565377,62,69,7,False
OC-202601-0128,2026-01,2026-01-11,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9704.7,13.24,128533.93,3997,4143,513750098,18765953,74,67,-7,True
OC-202601-0129,2026-01,2026-01-07,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,5687.7,11.02,62694.5,3997,4143,250589897,9153396,68,67,-1,True
OC-202601-0130,2026-01,2026-01-18,MP-004,Creatina monohidrato,Alemania,USD,1,3387.9,14.46,48999.53,3997,4143,195851121,7153931,55,53,-2,True
OC-202601-0131,2026-01,2026-01-13,MP-005,Colágeno hidrolizado bovino,Brasil,USD,0,8638.6,2.72,23455.63,3997,4143,93752173,3424522,38,30,-8,True
OC-202601-0132,2026-01,2026-01-11,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,3680.1,4.8,17667.84,3997,4143,70618372,2579505,65,65,0,True
OC-202601-0133,2026-01,2026-01-07,MP-012,"Envases, tarros y tapas",Colombia,COP,1,6752.2,4.63,0.0,3997,3997,121919731,0,22,22,0,True
OC-202601-0134,2026-01,2026-01-11,MP-013,Latas y tapas para RTD,Colombia,COP,1,6483.8,2.38,0.0,3997,3997,60213732,0,34,36,2,True
OC-202601-0135,2026-01,2026-01-17,MP-014,Empaque flexible y sachets,Colombia,COP,0,7880.5,2.35,0.0,3997,3997,72249030,0,20,22,2,True
OC-202602-0136,2026-02,2026-02-27,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,26306.1,9.27,243920.13,4078,4072,994706282,-1463520,62,72,10,False
OC-202602-0137,2026-02,2026-02-01,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,9103.8,14.52,132210.01,4078,4072,539152401,-793260,74,66,-8,True
OC-202602-0138,2026-02,2026-02-23,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,6018.2,11.99,72171.13,4078,4072,294313867,-433026,68,75,7,False
OC-202602-0139,2026-02,2026-02-24,MP-004,Creatina monohidrato,Alemania,USD,1,3184.1,11.84,37701.17,4078,4072,153745370,-226207,55,51,-4,True
OC-202602-0140,2026-02,2026-02-21,MP-007,Cafeína anhidra y taurina,China,USD,0,4593.8,8.9,40876.48,4078,4072,166694295,-245258,82,89,7,False
OC-202602-0141,2026-02,2026-02-27,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,9967.6,7.64,76189.14,4078,4072,310699298,-457134,65,65,0,True
OC-202602-0142,2026-02,2026-02-04,MP-012,"Envases, tarros y tapas",Colombia,COP,1,9006.4,2.2,0.0,4078,4078,77318174,0,22,27,5,True
OC-202602-0143,2026-02,2026-02-05,MP-013,Latas y tapas para RTD,Colombia,COP,1,3070.8,6.0,0.0,4078,4078,71808428,0,34,36,2,True
OC-202602-0144,2026-02,2026-02-12,MP-014,Empaque flexible y sachets,Colombia,COP,0,7859.5,7.64,0.0,4078,4078,234227994,0,20,17,-3,True
OC-202603-0145,2026-03,2026-03-15,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,23293.0,8.25,192092.01,4143,4030,795837186,-21706396,62,65,3,True
OC-202603-0146,2026-03,2026-03-25,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,7570.6,13.54,102472.16,4143,4030,424542140,-11579353,74,76,2,True
OC-202603-0147,2026-03,2026-03-07,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,3837.5,10.7,41066.83,4143,4030,170139881,-4640551,68,66,-2,True
OC-202603-0148,2026-03,2026-03-07,MP-004,Creatina monohidrato,Alemania,USD,1,2807.3,12.57,35293.26,4143,4030,146219987,-3988138,55,46,-9,True
OC-202603-0149,2026-03,2026-03-14,MP-006,Proteína vegetal de arveja,Canadá,USD,0,9081.6,8.47,76918.02,4143,4030,318671371,-8691736,58,63,5,True
OC-202603-0150,2026-03,2026-03-20,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,9056.2,7.58,68635.94,4143,4030,284358679,-7755860,65,68,3,True
OC-202603-0151,2026-03,2026-03-13,MP-009,Maltodextrina y carbohidratos,Colombia,COP,0,4580.5,6.37,0.0,4143,4143,113774403,0,12,7,-5,True
OC-202603-0152,2026-03,2026-03-21,MP-011,Cacao y saborizantes,Colombia,COP,0,9253.8,5.79,0.0,4143,4143,208871466,0,18,22,4,True
OC-202603-0153,2026-03,2026-03-18,MP-012,"Envases, tarros y tapas",Colombia,COP,1,8986.6,4.38,0.0,4143,4143,153434808,0,22,13,-9,True
OC-202603-0154,2026-03,2026-03-21,MP-013,Latas y tapas para RTD,Colombia,COP,1,8727.7,2.49,0.0,4143,4143,84782544,0,34,37,3,True
OC-202603-0155,2026-03,2026-03-04,MP-014,Empaque flexible y sachets,Colombia,COP,0,1489.5,1.81,0.0,4143,4143,10486718,0,20,28,8,False
OC-202604-0156,2026-04,2026-04-02,MP-001,Proteína de suero WPC 80,Estados Unidos,USD,1,28587.7,8.48,242519.3,4072,3954,987538607,-28617277,62,68,6,False
OC-202604-0157,2026-04,2026-04-01,MP-002,Proteína de suero aislada WPI,Irlanda,USD,1,10672.9,12.04,128456.84,4072,3954,523076241,-15157906,74,74,0,True
OC-202604-0158,2026-04,2026-04-11,MP-003,Caseinato de calcio,Nueva Zelanda,USD,1,2874.0,11.07,31806.46,4072,3954,129515886,-3753161,68,63,-5,True
OC-202604-0159,2026-04,2026-04-08,MP-004,Creatina monohidrato,Alemania,USD,1,3496.8,13.81,48294.57,4072,3954,196655484,-5698759,55,55,0,True
OC-202604-0160,2026-04,2026-04-25,MP-007,Cafeína anhidra y taurina,China,USD,0,10435.6,8.87,92552.19,4072,3954,376872512,-10921158,82,94,12,False
OC-202604-0161,2026-04,2026-04-11,MP-008,Vitaminas y minerales premix,Suiza,EUR,1,8001.5,6.79,54351.34,4072,3954,221318643,-6413457,65,65,0,True
